15:31:43 new steering: 8, stabilized steering: 89, difference: 81 
15:31:43 new steering: 148, stabilized steering: 90, difference: 58 
15:31:43 new steering: 13, stabilized steering: 89, difference: 76 
15:31:44 new steering: 17, stabilized steering: 88, difference: 71 
15:31:44 slope difference: 1.518835616438356
15:31:44 new steering: 24, stabilized steering: 83, difference: 59 
15:31:44 new steering: 160, stabilized steering: 84, difference: 76 
15:31:45 slope difference: 1.8508491262613833
15:31:45 new steering: 48, stabilized steering: 79, difference: 31 
15:31:45 new steering: 24, stabilized steering: 78, difference: 54 
15:31:45 new steering: 165, stabilized steering: 79, difference: 86 
15:31:46 new steering: 9, stabilized steering: 78, difference: 69 
15:31:46 new steering: 168, stabilized steering: 79, difference: 89 
15:31:46 new steering: 160, stabilized steering: 80, difference: 80 
15:31:47 new steering: 8, stabilized steering: 79, difference: 71 
15:31:47 new steering: 17, stabilized steering: 78, difference: 61 
15:31:47 new steering: 162, stabilized steering: 79, difference: 83 
15:31:48 new steering: 15, stabilized steering: 78, difference: 63 
15:31:48 new steering: 14, stabilized steering: 77, difference: 63 
15:31:48 new steering: 12, stabilized steering: 76, difference: 64 
15:31:49 new steering: 13, stabilized steering: 75, difference: 62 
15:31:49 new steering: 12, stabilized steering: 74, difference: 62 
15:31:49 new steering: 18, stabilized steering: 73, difference: 55 
15:31:50 new steering: 168, stabilized steering: 74, difference: 94 
15:31:50 new steering: 12, stabilized steering: 73, difference: 61 
15:31:51 new steering: 17, stabilized steering: 72, difference: 55 
15:31:51 slope difference: 1.5261979399910433
15:31:51 new steering: 29, stabilized steering: 67, difference: 38 
15:31:51 new steering: 159, stabilized steering: 68, difference: 91 
15:31:52 new steering: 8, stabilized steering: 67, difference: 59 
15:31:52 new steering: 14, stabilized steering: 66, difference: 52 
15:31:52 new steering: 163, stabilized steering: 67, difference: 96 
15:31:53 new steering: 25, stabilized steering: 66, difference: 41 
15:31:53 new steering: 16, stabilized steering: 65, difference: 49 
15:31:54 new steering: 11, stabilized steering: 64, difference: 53 
15:31:54 new steering: 162, stabilized steering: 65, difference: 97 
15:31:54 new steering: 11, stabilized steering: 64, difference: 53 
15:31:55 new steering: 12, stabilized steering: 63, difference: 51 
15:31:55 new steering: 17, stabilized steering: 62, difference: 45 
15:31:55 new steering: 164, stabilized steering: 63, difference: 101 
15:31:56 new steering: 13, stabilized steering: 62, difference: 49 
15:31:56 new steering: 20, stabilized steering: 61, difference: 41 
15:31:56 new steering: 12, stabilized steering: 60, difference: 48 
15:31:57 new steering: 165, stabilized steering: 61, difference: 104 
15:31:57 new steering: 12, stabilized steering: 60, difference: 48 
15:31:58 new steering: 15, stabilized steering: 59, difference: 44 
15:31:58 new steering: 11, stabilized steering: 58, difference: 47 
15:31:58 new steering: 16, stabilized steering: 57, difference: 41 
15:31:59 new steering: 14, stabilized steering: 56, difference: 42 
15:31:59 new steering: 15, stabilized steering: 55, difference: 40 
15:32:00 new steering: 13, stabilized steering: 54, difference: 41 
15:32:00 new steering: 26, stabilized steering: 53, difference: 27 
15:32:01 new steering: 166, stabilized steering: 54, difference: 112 
15:32:01 new steering: 163, stabilized steering: 55, difference: 108 
15:32:01 new steering: 166, stabilized steering: 56, difference: 110 
15:32:02 new steering: 168, stabilized steering: 57, difference: 111 
15:32:02 new steering: 163, stabilized steering: 58, difference: 105 
15:32:03 new steering: 15, stabilized steering: 57, difference: 42 
15:32:03 new steering: 160, stabilized steering: 58, difference: 102 
15:32:03 new steering: 168, stabilized steering: 59, difference: 109 
