15:19:40 new steering: 83, stabilized steering: 85, difference: 2 
15:19:41 new steering: 81, stabilized steering: 81, difference: 0 
15:19:41 new steering: 84, stabilized steering: 84, difference: 0 
15:19:41 new steering: 78, stabilized steering: 79, difference: 1 
15:19:41 new steering: 84, stabilized steering: 84, difference: 0 
15:19:41 new steering: 59, stabilized steering: 79, difference: 20 
15:19:41 new steering: 58, stabilized steering: 74, difference: 16 
15:19:42 new steering: 56, stabilized steering: 69, difference: 13 
15:19:42 new steering: 56, stabilized steering: 64, difference: 8 
15:19:42 new steering: 56, stabilized steering: 59, difference: 3 
15:19:42 new steering: 70, stabilized steering: 60, difference: 10 
15:19:42 new steering: 58, stabilized steering: 58, difference: 0 
15:19:42 new steering: 55, stabilized steering: 55, difference: 0 
15:19:42 new steering: 39, stabilized steering: 54, difference: 15 
15:19:43 new steering: 101, stabilized steering: 59, difference: 42 
15:19:43 new steering: 39, stabilized steering: 54, difference: 15 
15:19:43 new steering: 39, stabilized steering: 49, difference: 10 
15:19:43 new steering: 41, stabilized steering: 44, difference: 3 
15:19:43 new steering: 40, stabilized steering: 40, difference: 0 
15:19:43 new steering: 99, stabilized steering: 41, difference: 58 
15:19:43 new steering: 103, stabilized steering: 42, difference: 61 
15:19:43 new steering: 104, stabilized steering: 43, difference: 61 
15:19:44 new steering: 46, stabilized steering: 46, difference: 0 
15:19:44 new steering: 46, stabilized steering: 46, difference: 0 
15:19:44 new steering: 46, stabilized steering: 46, difference: 0 
15:19:44 new steering: 48, stabilized steering: 48, difference: 0 
15:19:44 new steering: 50, stabilized steering: 50, difference: 0 
15:19:44 new steering: 50, stabilized steering: 50, difference: 0 
15:19:44 new steering: 52, stabilized steering: 52, difference: 0 
15:19:44 new steering: 52, stabilized steering: 52, difference: 0 
15:19:44 new steering: 55, stabilized steering: 55, difference: 0 
15:19:45 new steering: 55, stabilized steering: 55, difference: 0 
15:19:45 new steering: 58, stabilized steering: 58, difference: 0 
15:19:45 new steering: 57, stabilized steering: 57, difference: 0 
15:19:45 new steering: 59, stabilized steering: 59, difference: 0 
15:19:45 new steering: 61, stabilized steering: 61, difference: 0 
15:19:45 new steering: 64, stabilized steering: 64, difference: 0 
15:19:45 new steering: 67, stabilized steering: 67, difference: 0 
15:19:45 new steering: 71, stabilized steering: 71, difference: 0 
15:19:45 new steering: 72, stabilized steering: 72, difference: 0 
15:19:46 new steering: 75, stabilized steering: 75, difference: 0 
15:19:46 new steering: 77, stabilized steering: 77, difference: 0 
15:19:46 new steering: 82, stabilized steering: 82, difference: 0 
15:19:46 new steering: 84, stabilized steering: 84, difference: 0 
15:19:46 new steering: 80, stabilized steering: 80, difference: 0 
15:19:46 new steering: 87, stabilized steering: 85, difference: 2 
15:19:46 new steering: 81, stabilized steering: 81, difference: 0 
15:19:46 new steering: 87, stabilized steering: 86, difference: 1 
15:19:46 new steering: 85, stabilized steering: 85, difference: 0 
15:19:47 new steering: 82, stabilized steering: 82, difference: 0 
15:19:47 new steering: 90, stabilized steering: 87, difference: 3 
15:19:47 new steering: 93, stabilized steering: 92, difference: 1 
15:19:47 new steering: 91, stabilized steering: 91, difference: 0 
15:19:47 new steering: 87, stabilized steering: 87, difference: 0 
15:19:47 new steering: 87, stabilized steering: 87, difference: 0 
15:19:47 new steering: 66, stabilized steering: 82, difference: 16 
15:19:47 new steering: 70, stabilized steering: 81, difference: 11 
15:19:47 new steering: 62, stabilized steering: 76, difference: 14 
15:19:48 new steering: 74, stabilized steering: 74, difference: 0 
15:19:48 new steering: 68, stabilized steering: 69, difference: 1 
15:19:48 new steering: 65, stabilized steering: 65, difference: 0 
15:19:48 new steering: 62, stabilized steering: 62, difference: 0 
15:19:48 new steering: 65, stabilized steering: 65, difference: 0 
15:19:48 new steering: 63, stabilized steering: 63, difference: 0 
15:19:48 new steering: 63, stabilized steering: 63, difference: 0 
15:19:48 new steering: 63, stabilized steering: 63, difference: 0 
15:19:48 new steering: 65, stabilized steering: 65, difference: 0 
15:19:48 new steering: 68, stabilized steering: 68, difference: 0 
15:19:49 new steering: 67, stabilized steering: 67, difference: 0 
15:19:49 new steering: 72, stabilized steering: 72, difference: 0 
15:19:49 new steering: 72, stabilized steering: 72, difference: 0 
15:19:49 new steering: 74, stabilized steering: 74, difference: 0 
15:19:49 new steering: 76, stabilized steering: 76, difference: 0 
15:19:49 new steering: 79, stabilized steering: 79, difference: 0 
15:19:49 new steering: 84, stabilized steering: 84, difference: 0 
15:19:49 new steering: 84, stabilized steering: 84, difference: 0 
15:19:49 new steering: 86, stabilized steering: 86, difference: 0 
15:19:50 new steering: 88, stabilized steering: 88, difference: 0 
15:19:50 new steering: 90, stabilized steering: 90, difference: 0 
15:19:50 new steering: 77, stabilized steering: 85, difference: 8 
15:19:50 new steering: 69, stabilized steering: 84, difference: 15 
15:19:50 new steering: 154, stabilized steering: 89, difference: 65 
15:19:50 new steering: 71, stabilized steering: 88, difference: 17 
15:19:50 new steering: 151, stabilized steering: 93, difference: 58 
15:19:50 new steering: 52, stabilized steering: 92, difference: 40 
15:19:51 new steering: 53, stabilized steering: 91, difference: 38 
15:19:51 new steering: 147, stabilized steering: 96, difference: 51 
15:19:51 new steering: 48, stabilized steering: 95, difference: 47 
15:19:51 new steering: 44, stabilized steering: 94, difference: 50 
15:19:51 new steering: 41, stabilized steering: 93, difference: 52 
15:19:52 new steering: 40, stabilized steering: 92, difference: 52 
15:19:52 new steering: 42, stabilized steering: 91, difference: 49 
15:19:52 new steering: 41, stabilized steering: 90, difference: 49 
15:19:52 new steering: 47, stabilized steering: 85, difference: 38 
15:19:52 new steering: 45, stabilized steering: 80, difference: 35 
15:19:53 new steering: 42, stabilized steering: 75, difference: 33 
15:19:53 new steering: 95, stabilized steering: 76, difference: 19 
15:19:53 new steering: 92, stabilized steering: 77, difference: 15 
15:19:54 new steering: 8, stabilized steering: 76, difference: 68 
15:19:54 new steering: 19, stabilized steering: 75, difference: 56 
15:19:54 new steering: 19, stabilized steering: 74, difference: 55 
15:19:54 new steering: 20, stabilized steering: 73, difference: 53 
15:19:54 new steering: 21, stabilized steering: 72, difference: 51 
15:19:54 new steering: 27, stabilized steering: 71, difference: 44 
15:19:54 new steering: 27, stabilized steering: 70, difference: 43 
15:19:54 new steering: 26, stabilized steering: 69, difference: 43 
15:19:54 new steering: 30, stabilized steering: 68, difference: 38 
15:19:54 new steering: 32, stabilized steering: 67, difference: 35 
15:19:55 new steering: 35, stabilized steering: 66, difference: 31 
15:19:55 new steering: 34, stabilized steering: 65, difference: 31 
