15:39:57 new steering: 26, stabilized steering: 89, difference: 63 
15:39:57 new steering: 15, stabilized steering: 88, difference: 73 
15:39:57 new steering: 170, stabilized steering: 89, difference: 81 
15:39:58 new steering: 10, stabilized steering: 88, difference: 78 
15:39:58 new steering: 9, stabilized steering: 87, difference: 78 
15:39:58 new steering: 58, stabilized steering: 86, difference: 28 
15:39:59 new steering: 168, stabilized steering: 87, difference: 81 
15:39:59 new steering: 21, stabilized steering: 86, difference: 65 
15:39:59 new steering: 14, stabilized steering: 85, difference: 71 
15:40:00 new steering: 24, stabilized steering: 84, difference: 60 
15:40:00 new steering: 20, stabilized steering: 83, difference: 63 
15:40:01 new steering: 15, stabilized steering: 82, difference: 67 
15:40:01 new steering: 20, stabilized steering: 81, difference: 61 
15:40:01 new steering: 164, stabilized steering: 82, difference: 82 
15:40:02 new steering: 169, stabilized steering: 83, difference: 86 
15:40:02 new steering: 164, stabilized steering: 84, difference: 80 
15:40:03 new steering: 166, stabilized steering: 85, difference: 81 
15:40:03 new steering: 169, stabilized steering: 86, difference: 83 
15:40:03 new steering: 20, stabilized steering: 85, difference: 65 
15:40:04 new steering: 19, stabilized steering: 84, difference: 65 
15:40:04 new steering: 21, stabilized steering: 83, difference: 62 
15:40:04 new steering: 168, stabilized steering: 84, difference: 84 
15:40:05 new steering: 164, stabilized steering: 85, difference: 79 
15:40:05 new steering: 165, stabilized steering: 86, difference: 79 
