15:21:51 new steering: 85, stabilized steering: 85, difference: 0 
15:21:51 new steering: 84, stabilized steering: 84, difference: 0 
15:21:51 new steering: 84, stabilized steering: 84, difference: 0 
15:21:51 new steering: 85, stabilized steering: 85, difference: 0 
15:21:51 new steering: 84, stabilized steering: 84, difference: 0 
15:21:51 new steering: 61, stabilized steering: 79, difference: 18 
15:21:51 new steering: 58, stabilized steering: 74, difference: 16 
15:21:52 new steering: 57, stabilized steering: 69, difference: 12 
15:21:52 new steering: 56, stabilized steering: 64, difference: 8 
15:21:52 new steering: 56, stabilized steering: 59, difference: 3 
15:21:52 new steering: 58, stabilized steering: 58, difference: 0 
15:21:52 new steering: 55, stabilized steering: 55, difference: 0 
15:21:52 new steering: 53, stabilized steering: 53, difference: 0 
15:21:52 new steering: 53, stabilized steering: 53, difference: 0 
15:21:52 new steering: 55, stabilized steering: 55, difference: 0 
15:21:53 new steering: 53, stabilized steering: 53, difference: 0 
15:21:53 new steering: 58, stabilized steering: 58, difference: 0 
15:21:53 new steering: 64, stabilized steering: 59, difference: 5 
15:21:53 new steering: 40, stabilized steering: 58, difference: 18 
15:21:53 new steering: 42, stabilized steering: 57, difference: 15 
15:21:53 new steering: 43, stabilized steering: 56, difference: 13 
15:21:53 new steering: 43, stabilized steering: 51, difference: 8 
15:21:54 new steering: 47, stabilized steering: 50, difference: 3 
15:21:54 new steering: 45, stabilized steering: 45, difference: 0 
15:21:54 new steering: 48, stabilized steering: 48, difference: 0 
15:21:54 new steering: 48, stabilized steering: 48, difference: 0 
15:21:54 new steering: 50, stabilized steering: 50, difference: 0 
15:21:54 new steering: 51, stabilized steering: 51, difference: 0 
15:21:54 new steering: 54, stabilized steering: 54, difference: 0 
15:21:54 new steering: 54, stabilized steering: 54, difference: 0 
15:21:55 new steering: 56, stabilized steering: 56, difference: 0 
15:21:55 new steering: 58, stabilized steering: 58, difference: 0 
15:21:55 new steering: 62, stabilized steering: 62, difference: 0 
15:21:55 new steering: 64, stabilized steering: 64, difference: 0 
15:21:55 new steering: 69, stabilized steering: 69, difference: 0 
15:21:55 new steering: 68, stabilized steering: 68, difference: 0 
15:21:55 new steering: 73, stabilized steering: 73, difference: 0 
15:21:56 new steering: 72, stabilized steering: 72, difference: 0 
15:21:56 new steering: 78, stabilized steering: 77, difference: 1 
15:21:56 new steering: 83, stabilized steering: 82, difference: 1 
15:21:56 new steering: 86, stabilized steering: 86, difference: 0 
15:21:57 new steering: 82, stabilized steering: 82, difference: 0 
15:21:57 new steering: 88, stabilized steering: 87, difference: 1 
15:21:57 new steering: 93, stabilized steering: 92, difference: 1 
15:21:57 new steering: 70, stabilized steering: 91, difference: 21 
15:21:57 new steering: 98, stabilized steering: 96, difference: 2 
15:21:58 new steering: 64, stabilized steering: 95, difference: 31 
15:21:58 new steering: 62, stabilized steering: 94, difference: 32 
15:21:58 new steering: 64, stabilized steering: 93, difference: 29 
15:21:58 new steering: 68, stabilized steering: 88, difference: 20 
15:21:58 new steering: 75, stabilized steering: 87, difference: 12 
15:21:59 new steering: 73, stabilized steering: 86, difference: 13 
15:21:59 new steering: 60, stabilized steering: 85, difference: 25 
15:21:59 new steering: 70, stabilized steering: 84, difference: 14 
15:21:59 new steering: 63, stabilized steering: 79, difference: 16 
15:21:59 new steering: 66, stabilized steering: 74, difference: 8 
15:21:59 new steering: 65, stabilized steering: 69, difference: 4 
15:21:59 new steering: 63, stabilized steering: 64, difference: 1 
15:21:59 new steering: 61, stabilized steering: 61, difference: 0 
15:21:59 new steering: 60, stabilized steering: 60, difference: 0 
15:22:00 new steering: 60, stabilized steering: 60, difference: 0 
15:22:00 new steering: 60, stabilized steering: 60, difference: 0 
15:22:00 new steering: 59, stabilized steering: 59, difference: 0 
15:22:00 new steering: 58, stabilized steering: 58, difference: 0 
15:22:00 new steering: 62, stabilized steering: 62, difference: 0 
15:22:00 new steering: 62, stabilized steering: 62, difference: 0 
15:22:00 new steering: 62, stabilized steering: 62, difference: 0 
15:22:00 new steering: 71, stabilized steering: 67, difference: 4 
15:22:00 new steering: 67, stabilized steering: 67, difference: 0 
15:22:01 new steering: 68, stabilized steering: 68, difference: 0 
15:22:01 new steering: 65, stabilized steering: 65, difference: 0 
15:22:01 new steering: 63, stabilized steering: 64, difference: 1 
15:22:01 new steering: 125, stabilized steering: 69, difference: 56 
15:22:01 new steering: 62, stabilized steering: 64, difference: 2 
15:22:01 new steering: 38, stabilized steering: 63, difference: 25 
15:22:02 new steering: 158, stabilized steering: 68, difference: 90 
15:22:02 new steering: 143, stabilized steering: 73, difference: 70 
15:22:02 new steering: 66, stabilized steering: 68, difference: 2 
15:22:02 new steering: 105, stabilized steering: 73, difference: 32 
15:22:02 new steering: 60, stabilized steering: 68, difference: 8 
15:22:02 new steering: 44, stabilized steering: 63, difference: 19 
15:22:02 new steering: 42, stabilized steering: 58, difference: 16 
15:22:03 new steering: 83, stabilized steering: 63, difference: 20 
15:22:03 new steering: 101, stabilized steering: 68, difference: 33 
15:22:03 new steering: 44, stabilized steering: 67, difference: 23 
15:22:03 new steering: 52, stabilized steering: 62, difference: 10 
15:22:03 new steering: 46, stabilized steering: 57, difference: 11 
15:22:03 new steering: 71, stabilized steering: 58, difference: 13 
15:22:03 new steering: 62, stabilized steering: 62, difference: 0 
15:22:04 new steering: 62, stabilized steering: 62, difference: 0 
15:22:04 new steering: 65, stabilized steering: 65, difference: 0 
15:22:04 new steering: 62, stabilized steering: 62, difference: 0 
15:22:04 new steering: 61, stabilized steering: 61, difference: 0 
15:22:04 new steering: 63, stabilized steering: 63, difference: 0 
15:22:04 new steering: 70, stabilized steering: 64, difference: 6 
15:22:04 new steering: 70, stabilized steering: 65, difference: 5 
15:22:04 new steering: 75, stabilized steering: 66, difference: 9 
15:22:04 new steering: 74, stabilized steering: 67, difference: 7 
15:22:04 new steering: 73, stabilized steering: 68, difference: 5 
15:22:05 new steering: 78, stabilized steering: 69, difference: 9 
15:22:05 new steering: 63, stabilized steering: 68, difference: 5 
15:22:05 new steering: 73, stabilized steering: 69, difference: 4 
15:22:05 new steering: 72, stabilized steering: 70, difference: 2 
15:22:05 new steering: 75, stabilized steering: 71, difference: 4 
15:22:05 new steering: 56, stabilized steering: 66, difference: 10 
15:22:05 new steering: 51, stabilized steering: 61, difference: 10 
15:22:05 new steering: 78, stabilized steering: 66, difference: 12 
15:22:06 new steering: 61, stabilized steering: 61, difference: 0 
15:22:06 new steering: 61, stabilized steering: 61, difference: 0 
15:22:06 new steering: 59, stabilized steering: 59, difference: 0 
15:22:06 new steering: 60, stabilized steering: 60, difference: 0 
15:22:06 new steering: 60, stabilized steering: 60, difference: 0 
15:22:06 new steering: 62, stabilized steering: 62, difference: 0 
15:22:06 new steering: 63, stabilized steering: 63, difference: 0 
15:22:06 new steering: 63, stabilized steering: 63, difference: 0 
15:22:06 new steering: 64, stabilized steering: 64, difference: 0 
15:22:07 new steering: 63, stabilized steering: 63, difference: 0 
15:22:07 new steering: 65, stabilized steering: 65, difference: 0 
15:22:07 new steering: 63, stabilized steering: 63, difference: 0 
15:22:07 new steering: 65, stabilized steering: 65, difference: 0 
15:22:07 new steering: 64, stabilized steering: 64, difference: 0 
15:22:07 new steering: 65, stabilized steering: 65, difference: 0 
15:22:07 new steering: 64, stabilized steering: 64, difference: 0 
15:22:07 new steering: 66, stabilized steering: 66, difference: 0 
15:22:07 new steering: 66, stabilized steering: 66, difference: 0 
15:22:08 new steering: 68, stabilized steering: 68, difference: 0 
15:22:08 new steering: 66, stabilized steering: 66, difference: 0 
15:22:08 new steering: 67, stabilized steering: 67, difference: 0 
15:22:08 new steering: 66, stabilized steering: 66, difference: 0 
15:22:08 new steering: 67, stabilized steering: 67, difference: 0 
15:22:08 new steering: 67, stabilized steering: 67, difference: 0 
15:22:08 new steering: 65, stabilized steering: 65, difference: 0 
15:22:08 new steering: 67, stabilized steering: 67, difference: 0 
15:22:08 new steering: 67, stabilized steering: 67, difference: 0 
15:22:09 new steering: 66, stabilized steering: 66, difference: 0 
15:22:09 new steering: 66, stabilized steering: 66, difference: 0 
15:22:09 new steering: 65, stabilized steering: 65, difference: 0 
15:22:09 new steering: 66, stabilized steering: 66, difference: 0 
15:22:09 new steering: 67, stabilized steering: 67, difference: 0 
15:22:09 new steering: 67, stabilized steering: 67, difference: 0 
15:22:09 new steering: 67, stabilized steering: 67, difference: 0 
15:22:09 new steering: 66, stabilized steering: 66, difference: 0 
15:22:09 new steering: 66, stabilized steering: 66, difference: 0 
15:22:10 new steering: 67, stabilized steering: 67, difference: 0 
15:22:10 new steering: 66, stabilized steering: 66, difference: 0 
15:22:10 new steering: 66, stabilized steering: 66, difference: 0 
15:22:10 new steering: 66, stabilized steering: 66, difference: 0 
15:22:10 new steering: 66, stabilized steering: 66, difference: 0 
15:22:10 new steering: 67, stabilized steering: 67, difference: 0 
15:22:10 new steering: 66, stabilized steering: 66, difference: 0 
15:22:10 new steering: 67, stabilized steering: 67, difference: 0 
15:22:10 new steering: 68, stabilized steering: 68, difference: 0 
15:22:10 new steering: 67, stabilized steering: 67, difference: 0 
15:22:11 new steering: 65, stabilized steering: 65, difference: 0 
15:22:11 new steering: 64, stabilized steering: 64, difference: 0 
15:22:11 new steering: 67, stabilized steering: 67, difference: 0 
15:22:11 new steering: 67, stabilized steering: 67, difference: 0 
15:22:11 new steering: 67, stabilized steering: 67, difference: 0 
15:22:11 new steering: 66, stabilized steering: 66, difference: 0 
15:22:11 new steering: 67, stabilized steering: 67, difference: 0 
15:22:11 new steering: 68, stabilized steering: 68, difference: 0 
15:22:11 new steering: 65, stabilized steering: 65, difference: 0 
15:22:11 new steering: 65, stabilized steering: 65, difference: 0 
15:22:12 new steering: 65, stabilized steering: 65, difference: 0 
15:22:12 new steering: 66, stabilized steering: 66, difference: 0 
15:22:12 new steering: 67, stabilized steering: 67, difference: 0 
15:22:12 new steering: 67, stabilized steering: 67, difference: 0 
15:22:12 new steering: 65, stabilized steering: 65, difference: 0 
15:22:12 new steering: 67, stabilized steering: 67, difference: 0 
15:22:12 new steering: 65, stabilized steering: 65, difference: 0 
15:22:12 new steering: 66, stabilized steering: 66, difference: 0 
15:22:12 new steering: 64, stabilized steering: 64, difference: 0 
15:22:12 new steering: 67, stabilized steering: 67, difference: 0 
15:22:13 new steering: 65, stabilized steering: 65, difference: 0 
15:22:13 new steering: 65, stabilized steering: 65, difference: 0 
15:22:13 new steering: 68, stabilized steering: 68, difference: 0 
15:22:13 new steering: 64, stabilized steering: 64, difference: 0 
15:22:13 new steering: 65, stabilized steering: 65, difference: 0 
15:22:13 new steering: 63, stabilized steering: 63, difference: 0 
15:22:13 new steering: 63, stabilized steering: 63, difference: 0 
15:22:13 new steering: 64, stabilized steering: 64, difference: 0 
15:22:14 new steering: 65, stabilized steering: 65, difference: 0 
15:22:14 new steering: 65, stabilized steering: 65, difference: 0 
15:22:14 new steering: 63, stabilized steering: 63, difference: 0 
15:22:14 new steering: 65, stabilized steering: 65, difference: 0 
15:22:14 new steering: 65, stabilized steering: 65, difference: 0 
15:22:14 new steering: 65, stabilized steering: 65, difference: 0 
15:22:14 new steering: 65, stabilized steering: 65, difference: 0 
15:22:14 new steering: 65, stabilized steering: 65, difference: 0 
15:22:14 new steering: 64, stabilized steering: 64, difference: 0 
15:22:15 new steering: 65, stabilized steering: 65, difference: 0 
15:22:15 new steering: 65, stabilized steering: 65, difference: 0 
15:22:15 new steering: 66, stabilized steering: 66, difference: 0 
15:22:15 new steering: 72, stabilized steering: 71, difference: 1 
15:22:15 new steering: 77, stabilized steering: 76, difference: 1 
15:22:15 new steering: 76, stabilized steering: 76, difference: 0 
15:22:15 new steering: 79, stabilized steering: 79, difference: 0 
15:22:15 new steering: 78, stabilized steering: 78, difference: 0 
15:22:15 new steering: 80, stabilized steering: 80, difference: 0 
15:22:15 new steering: 82, stabilized steering: 82, difference: 0 
15:22:16 new steering: 82, stabilized steering: 82, difference: 0 
15:22:16 new steering: 83, stabilized steering: 83, difference: 0 
15:22:16 new steering: 82, stabilized steering: 82, difference: 0 
15:22:16 new steering: 83, stabilized steering: 83, difference: 0 
15:22:16 new steering: 82, stabilized steering: 82, difference: 0 
15:22:16 new steering: 82, stabilized steering: 82, difference: 0 
