17:25:02 new steering: 85, stabilized steering: 85, difference: 0 
17:25:02 new steering: 85, stabilized steering: 85, difference: 0 
17:25:02 new steering: 82, stabilized steering: 82, difference: 0 
17:25:03 new steering: 85, stabilized steering: 85, difference: 0 
17:25:03 new steering: 27, stabilized steering: 80, difference: 53 
17:25:03 new steering: 85, stabilized steering: 85, difference: 0 
17:25:03 new steering: 108, stabilized steering: 90, difference: 18 
17:25:03 new steering: 33, stabilized steering: 85, difference: 52 
17:25:03 new steering: 68, stabilized steering: 80, difference: 12 
17:25:03 new steering: 84, stabilized steering: 84, difference: 0 
17:25:03 new steering: 84, stabilized steering: 84, difference: 0 
17:25:03 new steering: 27, stabilized steering: 79, difference: 52 
17:25:03 new steering: 82, stabilized steering: 82, difference: 0 
17:25:04 new steering: 82, stabilized steering: 82, difference: 0 
17:25:04 new steering: 83, stabilized steering: 83, difference: 0 
17:25:04 new steering: 83, stabilized steering: 83, difference: 0 
17:25:04 new steering: 83, stabilized steering: 83, difference: 0 
17:25:04 new steering: 84, stabilized steering: 84, difference: 0 
17:25:04 new steering: 85, stabilized steering: 85, difference: 0 
17:25:04 new steering: 86, stabilized steering: 86, difference: 0 
17:25:04 new steering: 84, stabilized steering: 84, difference: 0 
17:25:04 new steering: 27, stabilized steering: 79, difference: 52 
17:25:04 new steering: 86, stabilized steering: 84, difference: 2 
17:25:05 new steering: 86, stabilized steering: 86, difference: 0 
17:25:05 new steering: 63, stabilized steering: 81, difference: 18 
17:25:05 new steering: 87, stabilized steering: 86, difference: 1 
17:25:05 new steering: 88, stabilized steering: 88, difference: 0 
17:25:05 new steering: 87, stabilized steering: 87, difference: 0 
17:25:05 new steering: 88, stabilized steering: 88, difference: 0 
17:25:05 new steering: 87, stabilized steering: 87, difference: 0 
17:25:05 new steering: 89, stabilized steering: 89, difference: 0 
17:25:05 new steering: 89, stabilized steering: 89, difference: 0 
17:25:05 new steering: 87, stabilized steering: 87, difference: 0 
17:25:06 new steering: 88, stabilized steering: 88, difference: 0 
17:25:06 new steering: 88, stabilized steering: 88, difference: 0 
17:25:06 new steering: 89, stabilized steering: 89, difference: 0 
17:25:06 new steering: 90, stabilized steering: 90, difference: 0 
17:25:06 new steering: 89, stabilized steering: 89, difference: 0 
17:25:06 new steering: 87, stabilized steering: 87, difference: 0 
17:25:06 new steering: 89, stabilized steering: 89, difference: 0 
17:25:06 new steering: 90, stabilized steering: 90, difference: 0 
17:25:06 new steering: 89, stabilized steering: 89, difference: 0 
17:25:06 new steering: 89, stabilized steering: 89, difference: 0 
17:25:07 new steering: 87, stabilized steering: 87, difference: 0 
17:25:07 new steering: 87, stabilized steering: 87, difference: 0 
17:25:07 new steering: 87, stabilized steering: 87, difference: 0 
17:25:07 new steering: 88, stabilized steering: 88, difference: 0 
17:25:07 new steering: 87, stabilized steering: 87, difference: 0 
17:25:07 new steering: 87, stabilized steering: 87, difference: 0 
17:25:07 new steering: 86, stabilized steering: 86, difference: 0 
17:25:07 new steering: 86, stabilized steering: 86, difference: 0 
17:25:07 new steering: 85, stabilized steering: 85, difference: 0 
17:25:07 new steering: 85, stabilized steering: 85, difference: 0 
17:25:07 new steering: 85, stabilized steering: 85, difference: 0 
17:25:08 new steering: 85, stabilized steering: 85, difference: 0 
17:25:08 new steering: 83, stabilized steering: 83, difference: 0 
17:25:08 new steering: 83, stabilized steering: 83, difference: 0 
17:25:08 new steering: 83, stabilized steering: 83, difference: 0 
17:25:08 new steering: 83, stabilized steering: 83, difference: 0 
17:25:08 new steering: 85, stabilized steering: 85, difference: 0 
17:25:08 new steering: 83, stabilized steering: 83, difference: 0 
17:25:08 new steering: 84, stabilized steering: 84, difference: 0 
17:25:08 new steering: 83, stabilized steering: 83, difference: 0 
17:25:08 new steering: 83, stabilized steering: 83, difference: 0 
17:25:09 new steering: 83, stabilized steering: 83, difference: 0 
17:25:09 new steering: 80, stabilized steering: 80, difference: 0 
17:25:09 new steering: 83, stabilized steering: 83, difference: 0 
17:25:09 new steering: 83, stabilized steering: 83, difference: 0 
17:25:09 new steering: 77, stabilized steering: 78, difference: 1 
17:25:09 new steering: 77, stabilized steering: 77, difference: 0 
17:25:09 new steering: 73, stabilized steering: 73, difference: 0 
17:25:09 new steering: 55, stabilized steering: 72, difference: 17 
17:25:09 new steering: 43, stabilized steering: 71, difference: 28 
17:25:09 new steering: 44, stabilized steering: 70, difference: 26 
17:25:10 new steering: 45, stabilized steering: 69, difference: 24 
17:25:10 new steering: 43, stabilized steering: 68, difference: 25 
17:25:10 new steering: 52, stabilized steering: 63, difference: 11 
17:25:10 new steering: 56, stabilized steering: 58, difference: 2 
17:25:10 new steering: 51, stabilized steering: 53, difference: 2 
17:25:10 new steering: 50, stabilized steering: 50, difference: 0 
17:25:10 new steering: 52, stabilized steering: 52, difference: 0 
17:25:10 new steering: 51, stabilized steering: 51, difference: 0 
17:25:10 new steering: 53, stabilized steering: 53, difference: 0 
17:25:10 new steering: 54, stabilized steering: 54, difference: 0 
17:25:10 new steering: 58, stabilized steering: 58, difference: 0 
17:25:11 new steering: 59, stabilized steering: 59, difference: 0 
17:25:11 new steering: 57, stabilized steering: 57, difference: 0 
17:25:11 new steering: 58, stabilized steering: 58, difference: 0 
17:25:11 new steering: 61, stabilized steering: 61, difference: 0 
17:25:11 new steering: 56, stabilized steering: 56, difference: 0 
17:25:11 new steering: 66, stabilized steering: 61, difference: 5 
17:25:11 new steering: 68, stabilized steering: 66, difference: 2 
17:25:11 new steering: 78, stabilized steering: 71, difference: 7 
17:25:11 new steering: 82, stabilized steering: 76, difference: 6 
17:25:11 new steering: 75, stabilized steering: 75, difference: 0 
17:25:12 new steering: 75, stabilized steering: 75, difference: 0 
17:25:12 new steering: 74, stabilized steering: 74, difference: 0 
17:25:12 new steering: 101, stabilized steering: 79, difference: 22 
17:25:12 new steering: 80, stabilized steering: 80, difference: 0 
17:25:12 new steering: 51, stabilized steering: 79, difference: 28 
17:25:12 new steering: 82, stabilized steering: 82, difference: 0 
17:25:12 new steering: 116, stabilized steering: 87, difference: 29 
17:25:12 new steering: 52, stabilized steering: 86, difference: 34 
17:25:12 new steering: 60, stabilized steering: 85, difference: 25 
17:25:13 new steering: 79, stabilized steering: 80, difference: 1 
17:25:13 new steering: 78, stabilized steering: 78, difference: 0 
17:25:13 new steering: 49, stabilized steering: 77, difference: 28 
17:25:13 new steering: 54, stabilized steering: 76, difference: 22 
17:25:13 new steering: 45, stabilized steering: 75, difference: 30 
17:25:13 new steering: 54, stabilized steering: 74, difference: 20 
17:25:13 new steering: 56, stabilized steering: 73, difference: 17 
17:25:13 new steering: 57, stabilized steering: 72, difference: 15 
17:25:13 new steering: 50, stabilized steering: 71, difference: 21 
17:25:14 new steering: 58, stabilized steering: 66, difference: 8 
17:25:14 new steering: 57, stabilized steering: 65, difference: 8 
17:25:14 new steering: 62, stabilized steering: 64, difference: 2 
17:25:14 new steering: 51, stabilized steering: 63, difference: 12 
17:25:14 new steering: 44, stabilized steering: 62, difference: 18 
17:25:14 new steering: 102, stabilized steering: 67, difference: 35 
17:25:14 new steering: 140, stabilized steering: 72, difference: 68 
17:25:14 new steering: 57, stabilized steering: 71, difference: 14 
17:25:14 new steering: 46, stabilized steering: 70, difference: 24 
17:25:15 new steering: 136, stabilized steering: 75, difference: 61 
17:25:15 new steering: 43, stabilized steering: 74, difference: 31 
17:25:15 new steering: 150, stabilized steering: 79, difference: 71 
17:25:15 new steering: 36, stabilized steering: 78, difference: 42 
17:25:15 new steering: 32, stabilized steering: 77, difference: 45 
17:25:15 new steering: 33, stabilized steering: 76, difference: 43 
17:25:15 new steering: 34, stabilized steering: 75, difference: 41 
17:25:15 new steering: 38, stabilized steering: 74, difference: 36 
17:25:15 new steering: 41, stabilized steering: 73, difference: 32 
17:25:15 new steering: 39, stabilized steering: 72, difference: 33 
17:25:16 new steering: 44, stabilized steering: 67, difference: 23 
17:25:16 new steering: 47, stabilized steering: 66, difference: 19 
17:25:16 new steering: 44, stabilized steering: 61, difference: 17 
17:25:16 new steering: 44, stabilized steering: 56, difference: 12 
17:25:16 new steering: 44, stabilized steering: 51, difference: 7 
17:25:16 new steering: 98, stabilized steering: 52, difference: 46 
17:25:16 new steering: 25, stabilized steering: 51, difference: 26 
17:25:16 new steering: 98, stabilized steering: 52, difference: 46 
17:25:16 new steering: 103, stabilized steering: 53, difference: 50 
17:25:16 new steering: 152, stabilized steering: 54, difference: 98 
17:25:17 new steering: 45, stabilized steering: 49, difference: 4 
17:25:17 new steering: 54, stabilized steering: 54, difference: 0 
17:25:17 new steering: 104, stabilized steering: 55, difference: 49 
17:25:17 new steering: 31, stabilized steering: 54, difference: 23 
17:25:17 new steering: 104, stabilized steering: 55, difference: 49 
17:25:17 new steering: 101, stabilized steering: 56, difference: 45 
17:25:17 new steering: 96, stabilized steering: 57, difference: 39 
17:25:17 new steering: 52, stabilized steering: 52, difference: 0 
17:25:17 new steering: 48, stabilized steering: 48, difference: 0 
17:25:17 new steering: 55, stabilized steering: 53, difference: 2 
17:25:18 new steering: 55, stabilized steering: 55, difference: 0 
17:25:18 new steering: 53, stabilized steering: 53, difference: 0 
17:25:18 new steering: 53, stabilized steering: 53, difference: 0 
17:25:18 new steering: 60, stabilized steering: 58, difference: 2 
17:25:18 new steering: 63, stabilized steering: 63, difference: 0 
17:25:18 new steering: 90, stabilized steering: 68, difference: 22 
17:25:18 new steering: 66, stabilized steering: 66, difference: 0 
17:25:18 new steering: 65, stabilized steering: 65, difference: 0 
17:25:18 new steering: 70, stabilized steering: 70, difference: 0 
17:25:18 new steering: 76, stabilized steering: 75, difference: 1 
17:25:19 new steering: 77, stabilized steering: 77, difference: 0 
17:25:19 new steering: 78, stabilized steering: 78, difference: 0 
17:25:19 new steering: 75, stabilized steering: 75, difference: 0 
17:25:19 new steering: 67, stabilized steering: 74, difference: 7 
17:25:19 new steering: 63, stabilized steering: 69, difference: 6 
17:25:19 new steering: 71, stabilized steering: 70, difference: 1 
17:25:19 new steering: 57, stabilized steering: 65, difference: 8 
17:25:19 new steering: 70, stabilized steering: 66, difference: 4 
17:25:19 new steering: 70, stabilized steering: 67, difference: 3 
17:25:19 new steering: 76, stabilized steering: 72, difference: 4 
17:25:19 new steering: 70, stabilized steering: 71, difference: 1 
17:25:20 new steering: 69, stabilized steering: 69, difference: 0 
17:25:20 new steering: 68, stabilized steering: 68, difference: 0 
17:25:20 new steering: 72, stabilized steering: 69, difference: 3 
17:25:20 new steering: 66, stabilized steering: 68, difference: 2 
17:25:20 new steering: 71, stabilized steering: 71, difference: 0 
17:25:20 new steering: 60, stabilized steering: 70, difference: 10 
17:25:20 new steering: 71, stabilized steering: 71, difference: 0 
17:25:20 new steering: 71, stabilized steering: 71, difference: 0 
17:25:20 new steering: 63, stabilized steering: 70, difference: 7 
17:25:20 new steering: 64, stabilized steering: 69, difference: 5 
17:25:20 new steering: 68, stabilized steering: 68, difference: 0 
17:25:21 new steering: 53, stabilized steering: 67, difference: 14 
17:25:21 new steering: 63, stabilized steering: 66, difference: 3 
17:25:21 new steering: 60, stabilized steering: 65, difference: 5 
17:25:21 new steering: 57, stabilized steering: 64, difference: 7 
17:25:21 new steering: 50, stabilized steering: 63, difference: 13 
17:25:21 new steering: 56, stabilized steering: 62, difference: 6 
17:25:21 new steering: 48, stabilized steering: 61, difference: 13 
17:25:21 new steering: 46, stabilized steering: 56, difference: 10 
17:25:21 new steering: 47, stabilized steering: 55, difference: 8 
17:25:21 new steering: 52, stabilized steering: 54, difference: 2 
17:25:21 new steering: 49, stabilized steering: 53, difference: 4 
17:25:22 new steering: 54, stabilized steering: 54, difference: 0 
17:25:22 new steering: 56, stabilized steering: 55, difference: 1 
17:25:22 new steering: 52, stabilized steering: 54, difference: 2 
17:25:22 new steering: 53, stabilized steering: 53, difference: 0 
17:25:22 new steering: 42, stabilized steering: 52, difference: 10 
17:25:22 new steering: 37, stabilized steering: 51, difference: 14 
17:25:22 new steering: 36, stabilized steering: 50, difference: 14 
17:25:22 new steering: 45, stabilized steering: 49, difference: 4 
17:25:22 new steering: 34, stabilized steering: 48, difference: 14 
17:25:22 new steering: 36, stabilized steering: 47, difference: 11 
17:25:22 new steering: 36, stabilized steering: 46, difference: 10 
17:25:23 new steering: 37, stabilized steering: 45, difference: 8 
17:25:23 new steering: 38, stabilized steering: 44, difference: 6 
17:25:23 new steering: 38, stabilized steering: 43, difference: 5 
17:25:23 new steering: 37, stabilized steering: 42, difference: 5 
17:25:23 new steering: 37, stabilized steering: 41, difference: 4 
17:25:23 new steering: 37, stabilized steering: 40, difference: 3 
