17:13:40 new steering: 89, stabilized steering: 89, difference: 0 
17:13:40 new steering: 89, stabilized steering: 89, difference: 0 
17:13:40 new steering: 89, stabilized steering: 89, difference: 0 
17:13:41 new steering: 89, stabilized steering: 89, difference: 0 
17:13:41 new steering: 89, stabilized steering: 89, difference: 0 
17:13:41 new steering: 87, stabilized steering: 87, difference: 0 
17:13:41 new steering: 86, stabilized steering: 86, difference: 0 
17:13:41 new steering: 86, stabilized steering: 86, difference: 0 
17:13:41 new steering: 86, stabilized steering: 86, difference: 0 
17:13:41 new steering: 86, stabilized steering: 86, difference: 0 
17:13:41 new steering: 86, stabilized steering: 86, difference: 0 
17:13:41 new steering: 87, stabilized steering: 87, difference: 0 
17:13:42 new steering: 86, stabilized steering: 86, difference: 0 
17:13:42 new steering: 86, stabilized steering: 86, difference: 0 
17:13:42 new steering: 85, stabilized steering: 85, difference: 0 
17:13:42 new steering: 85, stabilized steering: 85, difference: 0 
17:13:42 new steering: 85, stabilized steering: 85, difference: 0 
17:13:42 new steering: 84, stabilized steering: 84, difference: 0 
17:13:42 new steering: 85, stabilized steering: 85, difference: 0 
17:13:42 new steering: 70, stabilized steering: 80, difference: 10 
17:13:42 new steering: 84, stabilized steering: 84, difference: 0 
17:13:42 new steering: 84, stabilized steering: 84, difference: 0 
17:13:42 new steering: 85, stabilized steering: 85, difference: 0 
17:13:43 new steering: 84, stabilized steering: 84, difference: 0 
17:13:43 new steering: 83, stabilized steering: 83, difference: 0 
17:13:43 new steering: 83, stabilized steering: 83, difference: 0 
17:13:43 new steering: 83, stabilized steering: 83, difference: 0 
17:13:43 new steering: 84, stabilized steering: 84, difference: 0 
17:13:43 new steering: 85, stabilized steering: 85, difference: 0 
17:13:43 new steering: 85, stabilized steering: 85, difference: 0 
17:13:43 new steering: 86, stabilized steering: 86, difference: 0 
17:13:43 new steering: 86, stabilized steering: 86, difference: 0 
17:13:43 new steering: 87, stabilized steering: 87, difference: 0 
17:13:43 new steering: 86, stabilized steering: 86, difference: 0 
17:13:43 new steering: 85, stabilized steering: 85, difference: 0 
17:13:44 new steering: 86, stabilized steering: 86, difference: 0 
17:13:44 new steering: 87, stabilized steering: 87, difference: 0 
17:13:44 new steering: 86, stabilized steering: 86, difference: 0 
17:13:44 new steering: 86, stabilized steering: 86, difference: 0 
17:13:44 new steering: 86, stabilized steering: 86, difference: 0 
17:13:44 new steering: 86, stabilized steering: 86, difference: 0 
17:13:44 new steering: 86, stabilized steering: 86, difference: 0 
17:13:44 new steering: 88, stabilized steering: 88, difference: 0 
17:13:44 new steering: 88, stabilized steering: 88, difference: 0 
17:13:44 new steering: 87, stabilized steering: 87, difference: 0 
17:13:44 new steering: 86, stabilized steering: 86, difference: 0 
17:13:45 new steering: 87, stabilized steering: 87, difference: 0 
17:13:45 new steering: 88, stabilized steering: 88, difference: 0 
17:13:45 new steering: 88, stabilized steering: 88, difference: 0 
17:13:45 new steering: 89, stabilized steering: 89, difference: 0 
17:13:45 new steering: 89, stabilized steering: 89, difference: 0 
17:13:45 new steering: 88, stabilized steering: 88, difference: 0 
17:13:45 new steering: 89, stabilized steering: 89, difference: 0 
17:13:45 new steering: 88, stabilized steering: 88, difference: 0 
17:13:45 new steering: 88, stabilized steering: 88, difference: 0 
17:13:45 new steering: 88, stabilized steering: 88, difference: 0 
17:13:46 new steering: 90, stabilized steering: 90, difference: 0 
17:13:46 new steering: 89, stabilized steering: 89, difference: 0 
17:13:46 new steering: 89, stabilized steering: 89, difference: 0 
17:13:46 new steering: 88, stabilized steering: 88, difference: 0 
17:13:46 new steering: 89, stabilized steering: 89, difference: 0 
17:13:46 new steering: 89, stabilized steering: 89, difference: 0 
