17:58:42 new steering: 105, stabilized steering: 91, difference: 14 
17:58:42 new steering: 87, stabilized steering: 87, difference: 0 
17:58:42 new steering: 86, stabilized steering: 86, difference: 0 
17:58:43 new steering: 87, stabilized steering: 87, difference: 0 
17:58:43 new steering: 86, stabilized steering: 86, difference: 0 
17:58:43 new steering: 102, stabilized steering: 87, difference: 15 
17:58:43 new steering: 101, stabilized steering: 88, difference: 13 
17:58:43 new steering: 103, stabilized steering: 89, difference: 14 
17:58:43 new steering: 87, stabilized steering: 87, difference: 0 
17:58:43 new steering: 88, stabilized steering: 88, difference: 0 
17:58:43 new steering: 88, stabilized steering: 88, difference: 0 
17:58:43 new steering: 87, stabilized steering: 87, difference: 0 
17:58:43 new steering: 93, stabilized steering: 92, difference: 1 
17:58:43 new steering: 92, stabilized steering: 92, difference: 0 
17:58:44 new steering: 93, stabilized steering: 93, difference: 0 
17:58:44 new steering: 92, stabilized steering: 92, difference: 0 
17:58:44 new steering: 87, stabilized steering: 87, difference: 0 
17:58:44 new steering: 87, stabilized steering: 87, difference: 0 
17:58:44 new steering: 102, stabilized steering: 88, difference: 14 
17:58:44 new steering: 88, stabilized steering: 88, difference: 0 
17:58:44 new steering: 101, stabilized steering: 89, difference: 12 
17:58:44 new steering: 88, stabilized steering: 88, difference: 0 
17:58:44 new steering: 94, stabilized steering: 93, difference: 1 
17:58:44 new steering: 87, stabilized steering: 92, difference: 5 
17:58:45 new steering: 88, stabilized steering: 88, difference: 0 
17:58:45 new steering: 78, stabilized steering: 87, difference: 9 
17:58:45 new steering: 87, stabilized steering: 87, difference: 0 
17:58:45 new steering: 87, stabilized steering: 87, difference: 0 
17:58:45 new steering: 88, stabilized steering: 88, difference: 0 
17:58:45 new steering: 88, stabilized steering: 88, difference: 0 
17:58:45 new steering: 102, stabilized steering: 89, difference: 13 
17:58:45 new steering: 88, stabilized steering: 88, difference: 0 
17:58:45 new steering: 94, stabilized steering: 93, difference: 1 
17:58:45 new steering: 88, stabilized steering: 88, difference: 0 
17:58:46 new steering: 86, stabilized steering: 86, difference: 0 
17:58:46 new steering: 87, stabilized steering: 87, difference: 0 
17:58:46 new steering: 88, stabilized steering: 88, difference: 0 
17:58:46 new steering: 87, stabilized steering: 87, difference: 0 
17:58:46 new steering: 87, stabilized steering: 87, difference: 0 
17:58:46 new steering: 88, stabilized steering: 88, difference: 0 
17:58:46 new steering: 86, stabilized steering: 87, difference: 1 
17:58:46 new steering: 88, stabilized steering: 88, difference: 0 
17:58:46 new steering: 80, stabilized steering: 87, difference: 7 
17:58:46 new steering: 86, stabilized steering: 86, difference: 0 
17:58:47 new steering: 95, stabilized steering: 91, difference: 4 
17:58:47 new steering: 89, stabilized steering: 90, difference: 1 
17:58:47 new steering: 101, stabilized steering: 91, difference: 10 
17:58:47 new steering: 88, stabilized steering: 88, difference: 0 
17:58:47 new steering: 88, stabilized steering: 88, difference: 0 
17:58:47 new steering: 101, stabilized steering: 89, difference: 12 
17:58:47 new steering: 93, stabilized steering: 93, difference: 0 
17:58:47 new steering: 26, stabilized steering: 88, difference: 62 
17:58:47 new steering: 107, stabilized steering: 89, difference: 18 
17:58:47 new steering: 87, stabilized steering: 87, difference: 0 
17:58:47 new steering: 102, stabilized steering: 88, difference: 14 
17:58:48 new steering: 86, stabilized steering: 86, difference: 0 
17:58:48 new steering: 107, stabilized steering: 87, difference: 20 
17:58:48 new steering: 88, stabilized steering: 88, difference: 0 
17:58:48 new steering: 101, stabilized steering: 89, difference: 12 
17:58:48 new steering: 86, stabilized steering: 88, difference: 2 
17:58:48 new steering: 86, stabilized steering: 86, difference: 0 
17:58:48 new steering: 88, stabilized steering: 88, difference: 0 
17:58:48 new steering: 87, stabilized steering: 87, difference: 0 
17:58:48 new steering: 101, stabilized steering: 88, difference: 13 
17:58:48 new steering: 93, stabilized steering: 93, difference: 0 
17:58:49 new steering: 87, stabilized steering: 92, difference: 5 
17:58:49 new steering: 93, stabilized steering: 93, difference: 0 
17:58:49 new steering: 87, stabilized steering: 88, difference: 1 
17:58:49 new steering: 94, stabilized steering: 93, difference: 1 
17:58:49 new steering: 92, stabilized steering: 92, difference: 0 
17:58:49 new steering: 93, stabilized steering: 93, difference: 0 
17:58:49 new steering: 102, stabilized steering: 94, difference: 8 
17:58:49 new steering: 87, stabilized steering: 89, difference: 2 
17:58:49 new steering: 88, stabilized steering: 88, difference: 0 
17:58:49 new steering: 88, stabilized steering: 88, difference: 0 
17:58:50 new steering: 87, stabilized steering: 87, difference: 0 
17:58:50 new steering: 93, stabilized steering: 92, difference: 1 
17:58:50 new steering: 101, stabilized steering: 93, difference: 8 
17:58:50 new steering: 92, stabilized steering: 92, difference: 0 
17:58:50 new steering: 88, stabilized steering: 88, difference: 0 
17:58:50 new steering: 88, stabilized steering: 88, difference: 0 
