17:06:06 new steering: 90, stabilized steering: 90, difference: 0 
17:06:07 new steering: 49, stabilized steering: 89, difference: 40 
17:06:07 new steering: 42, stabilized steering: 88, difference: 46 
17:06:07 new steering: 90, stabilized steering: 89, difference: 1 
17:06:07 new steering: 114, stabilized steering: 90, difference: 24 
17:06:07 new steering: 141, stabilized steering: 91, difference: 50 
17:06:07 new steering: 134, stabilized steering: 92, difference: 42 
17:06:07 new steering: 136, stabilized steering: 93, difference: 43 
17:06:07 new steering: 31, stabilized steering: 92, difference: 61 
17:06:07 new steering: 43, stabilized steering: 91, difference: 48 
17:06:08 new steering: 156, stabilized steering: 92, difference: 64 
17:06:08 new steering: 90, stabilized steering: 91, difference: 1 
17:06:08 new steering: 128, stabilized steering: 92, difference: 36 
17:06:08 new steering: 90, stabilized steering: 91, difference: 1 
17:06:08 new steering: 55, stabilized steering: 90, difference: 35 
17:06:08 new steering: 49, stabilized steering: 89, difference: 40 
17:06:08 new steering: 30, stabilized steering: 88, difference: 58 
17:06:08 new steering: 49, stabilized steering: 87, difference: 38 
17:06:08 new steering: 58, stabilized steering: 86, difference: 28 
17:06:08 new steering: 34, stabilized steering: 85, difference: 51 
17:06:08 new steering: 122, stabilized steering: 86, difference: 36 
17:06:09 new steering: 142, stabilized steering: 87, difference: 55 
17:06:09 new steering: 133, stabilized steering: 88, difference: 45 
17:06:09 new steering: 147, stabilized steering: 89, difference: 58 
17:06:09 new steering: 138, stabilized steering: 90, difference: 48 
17:06:09 new steering: 153, stabilized steering: 91, difference: 62 
17:06:09 new steering: 133, stabilized steering: 92, difference: 41 
17:06:09 new steering: 151, stabilized steering: 93, difference: 58 
17:06:09 new steering: 108, stabilized steering: 94, difference: 14 
17:06:09 new steering: 134, stabilized steering: 95, difference: 39 
17:06:10 new steering: 129, stabilized steering: 96, difference: 33 
17:06:10 new steering: 116, stabilized steering: 97, difference: 19 
17:06:10 new steering: 110, stabilized steering: 98, difference: 12 
17:06:10 new steering: 105, stabilized steering: 99, difference: 6 
17:06:10 new steering: 133, stabilized steering: 100, difference: 33 
17:06:10 new steering: 113, stabilized steering: 101, difference: 12 
17:06:10 new steering: 45, stabilized steering: 100, difference: 55 
17:06:10 new steering: 36, stabilized steering: 99, difference: 63 
17:06:10 new steering: 151, stabilized steering: 104, difference: 47 
17:06:10 new steering: 115, stabilized steering: 105, difference: 10 
17:06:11 new steering: 119, stabilized steering: 106, difference: 13 
17:06:11 new steering: 98, stabilized steering: 105, difference: 7 
17:06:11 new steering: 113, stabilized steering: 106, difference: 7 
17:06:11 new steering: 113, stabilized steering: 107, difference: 6 
17:06:11 new steering: 115, stabilized steering: 108, difference: 7 
17:06:11 new steering: 128, stabilized steering: 109, difference: 19 
17:06:11 new steering: 172, stabilized steering: 110, difference: 62 
17:06:11 new steering: 131, stabilized steering: 111, difference: 20 
17:06:11 new steering: 140, stabilized steering: 112, difference: 28 
17:06:11 new steering: 149, stabilized steering: 113, difference: 36 
17:06:12 new steering: 143, stabilized steering: 114, difference: 29 
17:06:12 new steering: 123, stabilized steering: 115, difference: 8 
17:06:12 new steering: 159, stabilized steering: 116, difference: 43 
17:06:12 new steering: 67, stabilized steering: 115, difference: 48 
17:06:12 new steering: 57, stabilized steering: 114, difference: 57 
17:06:12 new steering: 9, stabilized steering: 113, difference: 104 
