15:11:47 new steering: 80, stabilized steering: 85, difference: 5 
15:11:47 new steering: 101, stabilized steering: 90, difference: 11 
15:11:47 new steering: 93, stabilized steering: 93, difference: 0 
15:11:48 new steering: 23, stabilized steering: 88, difference: 65 
15:11:48 new steering: 57, stabilized steering: 83, difference: 26 
15:11:49 new steering: 97, stabilized steering: 88, difference: 9 
15:11:49 new steering: 123, stabilized steering: 93, difference: 30 
15:11:50 new steering: 76, stabilized steering: 88, difference: 12 
15:11:50 new steering: 68, stabilized steering: 83, difference: 15 
15:11:50 new steering: 99, stabilized steering: 88, difference: 11 
15:11:51 new steering: 72, stabilized steering: 83, difference: 11 
15:11:51 new steering: 44, stabilized steering: 78, difference: 34 
15:11:51 new steering: 111, stabilized steering: 83, difference: 28 
15:11:52 new steering: 82, stabilized steering: 82, difference: 0 
15:11:52 new steering: 47, stabilized steering: 77, difference: 30 
15:11:53 new steering: 120, stabilized steering: 82, difference: 38 
15:11:53 new steering: 57, stabilized steering: 77, difference: 20 
15:11:53 new steering: 87, stabilized steering: 82, difference: 5 
15:11:54 new steering: 61, stabilized steering: 77, difference: 16 
15:11:54 new steering: 115, stabilized steering: 82, difference: 33 
15:11:54 new steering: 137, stabilized steering: 87, difference: 50 
15:11:55 new steering: 63, stabilized steering: 82, difference: 19 
15:11:55 new steering: 110, stabilized steering: 87, difference: 23 
15:11:56 new steering: 87, stabilized steering: 87, difference: 0 
15:11:56 new steering: 70, stabilized steering: 82, difference: 12 
15:11:56 new steering: 91, stabilized steering: 87, difference: 4 
