17:06:50 new steering: 91, stabilized steering: 91, difference: 0 
17:06:50 new steering: 90, stabilized steering: 90, difference: 0 
17:06:50 new steering: 92, stabilized steering: 92, difference: 0 
17:06:51 new steering: 91, stabilized steering: 91, difference: 0 
17:06:51 new steering: 92, stabilized steering: 92, difference: 0 
17:06:51 new steering: 92, stabilized steering: 92, difference: 0 
17:06:51 new steering: 92, stabilized steering: 92, difference: 0 
17:06:51 new steering: 92, stabilized steering: 92, difference: 0 
17:06:51 new steering: 90, stabilized steering: 90, difference: 0 
17:06:51 new steering: 90, stabilized steering: 90, difference: 0 
17:06:51 new steering: 90, stabilized steering: 90, difference: 0 
17:06:51 new steering: 90, stabilized steering: 90, difference: 0 
17:06:52 new steering: 89, stabilized steering: 89, difference: 0 
17:06:52 new steering: 89, stabilized steering: 89, difference: 0 
17:06:52 new steering: 89, stabilized steering: 89, difference: 0 
17:06:52 new steering: 90, stabilized steering: 90, difference: 0 
17:06:52 new steering: 90, stabilized steering: 90, difference: 0 
17:06:52 new steering: 89, stabilized steering: 89, difference: 0 
17:06:52 new steering: 88, stabilized steering: 88, difference: 0 
17:06:52 new steering: 87, stabilized steering: 87, difference: 0 
17:06:52 new steering: 87, stabilized steering: 87, difference: 0 
17:06:52 new steering: 86, stabilized steering: 86, difference: 0 
17:06:53 new steering: 87, stabilized steering: 87, difference: 0 
17:06:53 new steering: 87, stabilized steering: 87, difference: 0 
17:06:53 new steering: 85, stabilized steering: 85, difference: 0 
17:06:53 new steering: 86, stabilized steering: 86, difference: 0 
17:06:53 new steering: 87, stabilized steering: 87, difference: 0 
17:06:53 new steering: 86, stabilized steering: 86, difference: 0 
17:06:53 new steering: 85, stabilized steering: 85, difference: 0 
17:06:53 new steering: 86, stabilized steering: 86, difference: 0 
17:06:53 new steering: 85, stabilized steering: 85, difference: 0 
17:06:53 new steering: 84, stabilized steering: 84, difference: 0 
17:06:54 new steering: 83, stabilized steering: 83, difference: 0 
17:06:54 new steering: 83, stabilized steering: 83, difference: 0 
17:06:54 new steering: 84, stabilized steering: 84, difference: 0 
17:06:54 new steering: 84, stabilized steering: 84, difference: 0 
17:06:54 new steering: 83, stabilized steering: 83, difference: 0 
17:06:54 new steering: 83, stabilized steering: 83, difference: 0 
17:06:54 new steering: 83, stabilized steering: 83, difference: 0 
17:06:54 new steering: 83, stabilized steering: 83, difference: 0 
17:06:54 new steering: 83, stabilized steering: 83, difference: 0 
17:06:54 new steering: 82, stabilized steering: 82, difference: 0 
17:06:55 new steering: 82, stabilized steering: 82, difference: 0 
17:06:55 new steering: 82, stabilized steering: 82, difference: 0 
17:06:55 new steering: 82, stabilized steering: 82, difference: 0 
17:06:55 new steering: 83, stabilized steering: 83, difference: 0 
17:06:55 new steering: 83, stabilized steering: 83, difference: 0 
17:06:55 new steering: 82, stabilized steering: 82, difference: 0 
17:06:55 new steering: 82, stabilized steering: 82, difference: 0 
17:06:55 new steering: 82, stabilized steering: 82, difference: 0 
17:06:55 new steering: 82, stabilized steering: 82, difference: 0 
17:06:55 new steering: 83, stabilized steering: 83, difference: 0 
17:06:56 new steering: 82, stabilized steering: 82, difference: 0 
17:06:56 new steering: 82, stabilized steering: 82, difference: 0 
17:06:56 new steering: 82, stabilized steering: 82, difference: 0 
17:06:56 new steering: 82, stabilized steering: 82, difference: 0 
17:06:56 new steering: 84, stabilized steering: 84, difference: 0 
17:06:56 new steering: 82, stabilized steering: 82, difference: 0 
17:06:56 new steering: 81, stabilized steering: 81, difference: 0 
17:06:56 new steering: 76, stabilized steering: 76, difference: 0 
17:06:56 new steering: 75, stabilized steering: 75, difference: 0 
17:06:57 new steering: 53, stabilized steering: 74, difference: 21 
17:06:57 new steering: 48, stabilized steering: 73, difference: 25 
17:06:57 new steering: 47, stabilized steering: 72, difference: 25 
17:06:57 new steering: 49, stabilized steering: 71, difference: 22 
17:06:57 new steering: 51, stabilized steering: 66, difference: 15 
17:06:57 new steering: 49, stabilized steering: 61, difference: 12 
17:06:57 new steering: 49, stabilized steering: 56, difference: 7 
17:06:57 new steering: 49, stabilized steering: 51, difference: 2 
17:06:57 new steering: 49, stabilized steering: 49, difference: 0 
17:06:58 new steering: 48, stabilized steering: 48, difference: 0 
17:06:58 new steering: 49, stabilized steering: 49, difference: 0 
17:06:58 new steering: 49, stabilized steering: 49, difference: 0 
17:06:58 new steering: 51, stabilized steering: 51, difference: 0 
17:06:58 new steering: 53, stabilized steering: 53, difference: 0 
17:06:58 new steering: 54, stabilized steering: 54, difference: 0 
17:06:58 new steering: 57, stabilized steering: 57, difference: 0 
17:06:58 new steering: 59, stabilized steering: 59, difference: 0 
17:06:58 new steering: 60, stabilized steering: 60, difference: 0 
