17:29:40 new steering: 91, stabilized steering: 91, difference: 0 
17:29:40 new steering: 90, stabilized steering: 90, difference: 0 
17:29:41 new steering: 90, stabilized steering: 90, difference: 0 
17:29:41 new steering: 90, stabilized steering: 90, difference: 0 
17:29:41 new steering: 90, stabilized steering: 90, difference: 0 
17:29:41 new steering: 89, stabilized steering: 89, difference: 0 
17:29:41 new steering: 89, stabilized steering: 89, difference: 0 
17:29:41 new steering: 89, stabilized steering: 89, difference: 0 
17:29:41 new steering: 88, stabilized steering: 88, difference: 0 
17:29:41 new steering: 89, stabilized steering: 89, difference: 0 
17:29:41 new steering: 88, stabilized steering: 88, difference: 0 
17:29:41 new steering: 88, stabilized steering: 88, difference: 0 
17:29:41 new steering: 89, stabilized steering: 89, difference: 0 
17:29:41 new steering: 88, stabilized steering: 88, difference: 0 
17:29:42 new steering: 88, stabilized steering: 88, difference: 0 
17:29:42 new steering: 88, stabilized steering: 88, difference: 0 
17:29:42 new steering: 87, stabilized steering: 87, difference: 0 
17:29:42 new steering: 87, stabilized steering: 87, difference: 0 
17:29:42 new steering: 87, stabilized steering: 87, difference: 0 
17:29:42 new steering: 86, stabilized steering: 86, difference: 0 
17:29:42 new steering: 86, stabilized steering: 86, difference: 0 
17:29:42 new steering: 86, stabilized steering: 86, difference: 0 
17:29:42 new steering: 85, stabilized steering: 85, difference: 0 
17:29:42 new steering: 85, stabilized steering: 85, difference: 0 
17:29:42 new steering: 85, stabilized steering: 85, difference: 0 
17:29:42 new steering: 85, stabilized steering: 85, difference: 0 
17:29:43 new steering: 84, stabilized steering: 84, difference: 0 
17:29:43 new steering: 84, stabilized steering: 84, difference: 0 
17:29:43 new steering: 84, stabilized steering: 84, difference: 0 
17:29:43 new steering: 84, stabilized steering: 84, difference: 0 
17:29:43 new steering: 84, stabilized steering: 84, difference: 0 
17:29:43 new steering: 83, stabilized steering: 83, difference: 0 
17:29:43 new steering: 83, stabilized steering: 83, difference: 0 
17:29:43 new steering: 83, stabilized steering: 83, difference: 0 
17:29:43 new steering: 89, stabilized steering: 88, difference: 1 
17:29:43 new steering: 83, stabilized steering: 83, difference: 0 
17:29:43 new steering: 83, stabilized steering: 83, difference: 0 
17:29:44 new steering: 83, stabilized steering: 83, difference: 0 
17:29:44 new steering: 82, stabilized steering: 82, difference: 0 
17:29:44 new steering: 82, stabilized steering: 82, difference: 0 
17:29:44 new steering: 82, stabilized steering: 82, difference: 0 
17:29:44 new steering: 82, stabilized steering: 82, difference: 0 
17:29:44 new steering: 82, stabilized steering: 82, difference: 0 
17:29:44 new steering: 82, stabilized steering: 82, difference: 0 
17:29:44 new steering: 79, stabilized steering: 79, difference: 0 
17:29:44 new steering: 81, stabilized steering: 81, difference: 0 
17:29:44 new steering: 79, stabilized steering: 79, difference: 0 
17:29:44 new steering: 79, stabilized steering: 79, difference: 0 
17:29:45 new steering: 80, stabilized steering: 80, difference: 0 
17:29:45 new steering: 80, stabilized steering: 80, difference: 0 
17:29:45 new steering: 80, stabilized steering: 80, difference: 0 
17:29:45 new steering: 79, stabilized steering: 79, difference: 0 
17:29:45 new steering: 80, stabilized steering: 80, difference: 0 
17:29:45 new steering: 76, stabilized steering: 76, difference: 0 
17:29:45 new steering: 82, stabilized steering: 81, difference: 1 
17:29:45 new steering: 80, stabilized steering: 80, difference: 0 
17:29:45 new steering: 80, stabilized steering: 80, difference: 0 
17:29:45 new steering: 79, stabilized steering: 79, difference: 0 
17:29:46 new steering: 76, stabilized steering: 76, difference: 0 
17:29:46 new steering: 84, stabilized steering: 81, difference: 3 
17:29:46 new steering: 80, stabilized steering: 80, difference: 0 
17:29:46 new steering: 81, stabilized steering: 81, difference: 0 
17:29:46 new steering: 79, stabilized steering: 79, difference: 0 
17:29:46 new steering: 81, stabilized steering: 81, difference: 0 
17:29:46 new steering: 81, stabilized steering: 81, difference: 0 
17:29:46 new steering: 81, stabilized steering: 81, difference: 0 
17:29:46 new steering: 86, stabilized steering: 86, difference: 0 
17:29:46 new steering: 86, stabilized steering: 86, difference: 0 
17:29:46 new steering: 82, stabilized steering: 82, difference: 0 
17:29:47 new steering: 84, stabilized steering: 84, difference: 0 
17:29:47 new steering: 84, stabilized steering: 84, difference: 0 
17:29:47 new steering: 86, stabilized steering: 86, difference: 0 
17:29:47 new steering: 87, stabilized steering: 87, difference: 0 
17:29:47 new steering: 79, stabilized steering: 82, difference: 3 
17:29:47 new steering: 78, stabilized steering: 78, difference: 0 
17:29:47 new steering: 84, stabilized steering: 83, difference: 1 
17:29:47 new steering: 79, stabilized steering: 79, difference: 0 
17:29:47 new steering: 53, stabilized steering: 78, difference: 25 
17:29:47 new steering: 55, stabilized steering: 77, difference: 22 
17:29:48 new steering: 57, stabilized steering: 76, difference: 19 
17:29:48 new steering: 60, stabilized steering: 75, difference: 15 
17:29:48 new steering: 61, stabilized steering: 74, difference: 13 
17:29:48 new steering: 60, stabilized steering: 73, difference: 13 
17:29:48 new steering: 66, stabilized steering: 72, difference: 6 
17:29:48 new steering: 49, stabilized steering: 71, difference: 22 
17:29:48 new steering: 56, stabilized steering: 70, difference: 14 
17:29:48 new steering: 56, stabilized steering: 69, difference: 13 
17:29:48 new steering: 66, stabilized steering: 68, difference: 2 
17:29:48 new steering: 63, stabilized steering: 67, difference: 4 
17:29:49 new steering: 73, stabilized steering: 68, difference: 5 
17:29:49 new steering: 55, stabilized steering: 63, difference: 8 
17:29:49 new steering: 56, stabilized steering: 58, difference: 2 
17:29:49 new steering: 55, stabilized steering: 55, difference: 0 
17:29:49 new steering: 56, stabilized steering: 56, difference: 0 
17:29:49 new steering: 56, stabilized steering: 56, difference: 0 
17:29:49 new steering: 72, stabilized steering: 57, difference: 15 
17:29:49 new steering: 76, stabilized steering: 58, difference: 18 
17:29:49 new steering: 55, stabilized steering: 57, difference: 2 
17:29:49 new steering: 61, stabilized steering: 61, difference: 0 
17:29:50 new steering: 62, stabilized steering: 62, difference: 0 
17:29:50 new steering: 61, stabilized steering: 61, difference: 0 
17:29:50 new steering: 64, stabilized steering: 64, difference: 0 
17:29:50 new steering: 65, stabilized steering: 65, difference: 0 
17:29:50 new steering: 65, stabilized steering: 65, difference: 0 
17:29:50 new steering: 60, stabilized steering: 64, difference: 4 
17:29:50 new steering: 56, stabilized steering: 63, difference: 7 
17:29:50 new steering: 74, stabilized steering: 68, difference: 6 
17:29:50 new steering: 50, stabilized steering: 67, difference: 17 
17:29:50 new steering: 54, stabilized steering: 66, difference: 12 
17:29:51 new steering: 50, stabilized steering: 65, difference: 15 
17:29:51 new steering: 43, stabilized steering: 64, difference: 21 
17:29:51 new steering: 44, stabilized steering: 63, difference: 19 
17:29:51 new steering: 38, stabilized steering: 62, difference: 24 
17:29:51 new steering: 35, stabilized steering: 61, difference: 26 
17:29:51 new steering: 33, stabilized steering: 60, difference: 27 
17:29:51 new steering: 34, stabilized steering: 59, difference: 25 
17:29:51 new steering: 38, stabilized steering: 58, difference: 20 
17:29:51 new steering: 33, stabilized steering: 57, difference: 24 
17:29:52 new steering: 35, stabilized steering: 56, difference: 21 
17:29:52 new steering: 35, stabilized steering: 55, difference: 20 
17:29:52 new steering: 35, stabilized steering: 54, difference: 19 
17:29:52 new steering: 36, stabilized steering: 53, difference: 17 
17:29:52 new steering: 30, stabilized steering: 52, difference: 22 
17:29:52 new steering: 34, stabilized steering: 51, difference: 17 
17:29:52 new steering: 33, stabilized steering: 50, difference: 17 
17:29:52 new steering: 25, stabilized steering: 49, difference: 24 
17:29:53 new steering: 28, stabilized steering: 48, difference: 20 
17:29:53 new steering: 26, stabilized steering: 47, difference: 21 
17:29:53 new steering: 25, stabilized steering: 46, difference: 21 
17:29:53 new steering: 24, stabilized steering: 45, difference: 21 
17:29:53 new steering: 25, stabilized steering: 44, difference: 19 
17:29:53 new steering: 25, stabilized steering: 43, difference: 18 
17:29:53 new steering: 24, stabilized steering: 42, difference: 18 
17:29:53 new steering: 27, stabilized steering: 41, difference: 14 
17:29:54 new steering: 25, stabilized steering: 40, difference: 15 
17:29:54 new steering: 26, stabilized steering: 39, difference: 13 
17:29:54 new steering: 25, stabilized steering: 38, difference: 13 
17:29:54 new steering: 26, stabilized steering: 37, difference: 11 
17:29:54 new steering: 29, stabilized steering: 36, difference: 7 
17:29:54 new steering: 25, stabilized steering: 35, difference: 10 
17:29:54 new steering: 26, stabilized steering: 34, difference: 8 
17:29:54 new steering: 27, stabilized steering: 33, difference: 6 
17:29:54 new steering: 27, stabilized steering: 32, difference: 5 
17:29:55 new steering: 25, stabilized steering: 31, difference: 6 
17:29:55 new steering: 28, stabilized steering: 30, difference: 2 
17:29:55 new steering: 27, stabilized steering: 29, difference: 2 
17:29:55 new steering: 26, stabilized steering: 28, difference: 2 
17:29:55 new steering: 25, stabilized steering: 27, difference: 2 
17:29:55 new steering: 25, stabilized steering: 26, difference: 1 
17:29:55 new steering: 25, stabilized steering: 25, difference: 0 
17:29:55 new steering: 25, stabilized steering: 25, difference: 0 
17:29:55 new steering: 21, stabilized steering: 24, difference: 3 
17:29:55 new steering: 22, stabilized steering: 23, difference: 1 
17:29:55 new steering: 23, stabilized steering: 23, difference: 0 
17:29:55 new steering: 22, stabilized steering: 22, difference: 0 
17:29:56 new steering: 22, stabilized steering: 22, difference: 0 
17:29:56 new steering: 23, stabilized steering: 23, difference: 0 
17:29:56 new steering: 23, stabilized steering: 23, difference: 0 
17:29:56 new steering: 22, stabilized steering: 22, difference: 0 
17:29:56 new steering: 23, stabilized steering: 23, difference: 0 
17:29:56 new steering: 23, stabilized steering: 23, difference: 0 
17:29:56 new steering: 24, stabilized steering: 24, difference: 0 
17:29:56 new steering: 25, stabilized steering: 25, difference: 0 
17:29:56 new steering: 25, stabilized steering: 25, difference: 0 
17:29:57 new steering: 28, stabilized steering: 26, difference: 2 
17:29:57 new steering: 19, stabilized steering: 25, difference: 6 
17:29:57 new steering: 19, stabilized steering: 24, difference: 5 
17:29:58 new steering: 19, stabilized steering: 23, difference: 4 
