15:17:48 new steering: 76, stabilized steering: 85, difference: 9 
15:17:49 new steering: 90, stabilized steering: 90, difference: 0 
15:17:49 new steering: 78, stabilized steering: 85, difference: 7 
15:17:50 new steering: 84, stabilized steering: 84, difference: 0 
15:17:50 new steering: 84, stabilized steering: 84, difference: 0 
15:17:51 new steering: 100, stabilized steering: 89, difference: 11 
15:17:51 new steering: 83, stabilized steering: 84, difference: 1 
15:17:51 new steering: 80, stabilized steering: 80, difference: 0 
15:17:52 new steering: 76, stabilized steering: 76, difference: 0 
15:17:52 new steering: 85, stabilized steering: 81, difference: 4 
15:17:52 new steering: 86, stabilized steering: 86, difference: 0 
15:17:53 new steering: 86, stabilized steering: 86, difference: 0 
15:17:53 new steering: 76, stabilized steering: 81, difference: 5 
15:17:53 new steering: 77, stabilized steering: 77, difference: 0 
15:17:54 new steering: 76, stabilized steering: 76, difference: 0 
15:17:54 new steering: 73, stabilized steering: 73, difference: 0 
15:17:55 new steering: 76, stabilized steering: 76, difference: 0 
15:17:55 new steering: 68, stabilized steering: 71, difference: 3 
15:17:56 new steering: 56, stabilized steering: 66, difference: 10 
15:17:56 new steering: 88, stabilized steering: 71, difference: 17 
15:17:57 new steering: 73, stabilized steering: 73, difference: 0 
15:17:57 new steering: 64, stabilized steering: 68, difference: 4 
