15:12:19 new steering: 93, stabilized steering: 93, difference: 0 
15:12:19 new steering: 94, stabilized steering: 94, difference: 0 
15:12:20 new steering: 101, stabilized steering: 99, difference: 2 
15:12:20 new steering: 100, stabilized steering: 100, difference: 0 
15:12:21 new steering: 95, stabilized steering: 95, difference: 0 
15:12:21 new steering: 95, stabilized steering: 95, difference: 0 
15:12:22 new steering: 102, stabilized steering: 100, difference: 2 
15:12:23 new steering: 88, stabilized steering: 95, difference: 7 
15:12:23 new steering: 79, stabilized steering: 90, difference: 11 
15:12:24 new steering: 106, stabilized steering: 95, difference: 11 
15:12:25 new steering: 92, stabilized steering: 92, difference: 0 
15:12:25 new steering: 90, stabilized steering: 90, difference: 0 
15:12:26 new steering: 86, stabilized steering: 86, difference: 0 
15:12:26 new steering: 82, stabilized steering: 82, difference: 0 
15:12:27 new steering: 92, stabilized steering: 87, difference: 5 
15:12:27 new steering: 90, stabilized steering: 90, difference: 0 
15:12:28 new steering: 86, stabilized steering: 86, difference: 0 
15:12:29 new steering: 73, stabilized steering: 81, difference: 8 
15:12:29 new steering: 69, stabilized steering: 76, difference: 7 
15:12:30 new steering: 64, stabilized steering: 71, difference: 7 
15:12:30 new steering: 90, stabilized steering: 76, difference: 14 
15:12:31 new steering: 71, stabilized steering: 71, difference: 0 
15:12:31 new steering: 86, stabilized steering: 76, difference: 10 
15:12:32 new steering: 112, stabilized steering: 81, difference: 31 
15:12:32 new steering: 96, stabilized steering: 86, difference: 10 
15:12:33 new steering: 87, stabilized steering: 87, difference: 0 
15:12:33 new steering: 101, stabilized steering: 92, difference: 9 
15:12:34 new steering: 94, stabilized steering: 94, difference: 0 
15:12:34 new steering: 91, stabilized steering: 91, difference: 0 
15:12:34 new steering: 91, stabilized steering: 91, difference: 0 
15:12:35 new steering: 92, stabilized steering: 92, difference: 0 
15:12:35 new steering: 83, stabilized steering: 87, difference: 4 
15:12:36 new steering: 86, stabilized steering: 86, difference: 0 
15:12:36 new steering: 93, stabilized steering: 91, difference: 2 
15:12:37 new steering: 102, stabilized steering: 96, difference: 6 
15:12:37 new steering: 82, stabilized steering: 91, difference: 9 
15:12:38 new steering: 81, stabilized steering: 86, difference: 5 
15:12:38 new steering: 87, stabilized steering: 87, difference: 0 
15:12:38 new steering: 89, stabilized steering: 89, difference: 0 
15:12:39 new steering: 84, stabilized steering: 84, difference: 0 
15:12:39 new steering: 90, stabilized steering: 89, difference: 1 
15:12:40 new steering: 90, stabilized steering: 90, difference: 0 
15:12:40 new steering: 89, stabilized steering: 89, difference: 0 
15:12:40 new steering: 80, stabilized steering: 84, difference: 4 
15:12:41 new steering: 96, stabilized steering: 89, difference: 7 
15:12:41 new steering: 88, stabilized steering: 88, difference: 0 
15:12:42 new steering: 78, stabilized steering: 83, difference: 5 
15:12:42 new steering: 84, stabilized steering: 84, difference: 0 
15:12:43 new steering: 90, stabilized steering: 89, difference: 1 
15:12:43 new steering: 83, stabilized steering: 84, difference: 1 
15:12:44 new steering: 81, stabilized steering: 81, difference: 0 
15:12:44 new steering: 86, stabilized steering: 86, difference: 0 
15:12:44 new steering: 74, stabilized steering: 81, difference: 7 
15:12:45 new steering: 87, stabilized steering: 86, difference: 1 
15:12:45 new steering: 84, stabilized steering: 84, difference: 0 
15:12:46 new steering: 85, stabilized steering: 85, difference: 0 
15:12:46 new steering: 83, stabilized steering: 83, difference: 0 
15:12:47 new steering: 91, stabilized steering: 88, difference: 3 
15:12:47 new steering: 88, stabilized steering: 88, difference: 0 
15:12:48 new steering: 78, stabilized steering: 83, difference: 5 
15:12:48 new steering: 81, stabilized steering: 81, difference: 0 
15:12:49 new steering: 86, stabilized steering: 86, difference: 0 
15:12:49 new steering: 86, stabilized steering: 86, difference: 0 
15:12:50 new steering: 77, stabilized steering: 81, difference: 4 
15:12:50 new steering: 85, stabilized steering: 85, difference: 0 
15:12:51 new steering: 88, stabilized steering: 88, difference: 0 
15:12:51 new steering: 89, stabilized steering: 89, difference: 0 
15:12:52 new steering: 81, stabilized steering: 84, difference: 3 
15:12:52 new steering: 72, stabilized steering: 79, difference: 7 
15:12:53 new steering: 77, stabilized steering: 77, difference: 0 
15:12:53 new steering: 84, stabilized steering: 82, difference: 2 
15:12:53 new steering: 83, stabilized steering: 83, difference: 0 
