17:11:45 new steering: 82, stabilized steering: 85, difference: 3 
17:11:46 new steering: 82, stabilized steering: 82, difference: 0 
17:11:46 new steering: 83, stabilized steering: 83, difference: 0 
17:11:46 new steering: 83, stabilized steering: 83, difference: 0 
17:11:46 new steering: 82, stabilized steering: 82, difference: 0 
17:11:46 new steering: 73, stabilized steering: 77, difference: 4 
17:11:46 new steering: 74, stabilized steering: 74, difference: 0 
17:11:46 new steering: 69, stabilized steering: 69, difference: 0 
17:11:46 new steering: 70, stabilized steering: 70, difference: 0 
17:11:46 new steering: 124, stabilized steering: 71, difference: 53 
17:11:47 new steering: 129, stabilized steering: 72, difference: 57 
17:11:47 new steering: 90, stabilized steering: 73, difference: 17 
17:11:47 new steering: 113, stabilized steering: 74, difference: 39 
17:11:47 new steering: 145, stabilized steering: 75, difference: 70 
17:11:47 new steering: 52, stabilized steering: 70, difference: 18 
17:11:47 new steering: 77, stabilized steering: 75, difference: 2 
17:11:47 new steering: 80, stabilized steering: 80, difference: 0 
17:11:47 new steering: 82, stabilized steering: 82, difference: 0 
17:11:47 new steering: 86, stabilized steering: 86, difference: 0 
17:11:47 new steering: 89, stabilized steering: 89, difference: 0 
17:11:48 new steering: 93, stabilized steering: 93, difference: 0 
17:11:48 new steering: 28, stabilized steering: 88, difference: 60 
17:11:48 new steering: 88, stabilized steering: 88, difference: 0 
17:11:48 new steering: 99, stabilized steering: 93, difference: 6 
17:11:48 new steering: 101, stabilized steering: 98, difference: 3 
17:11:48 new steering: 100, stabilized steering: 100, difference: 0 
17:11:48 new steering: 99, stabilized steering: 99, difference: 0 
17:11:48 new steering: 100, stabilized steering: 100, difference: 0 
17:11:48 new steering: 98, stabilized steering: 98, difference: 0 
17:11:48 new steering: 97, stabilized steering: 97, difference: 0 
17:11:49 new steering: 95, stabilized steering: 95, difference: 0 
17:11:49 new steering: 91, stabilized steering: 91, difference: 0 
17:11:49 new steering: 90, stabilized steering: 90, difference: 0 
17:11:49 new steering: 90, stabilized steering: 90, difference: 0 
17:11:49 new steering: 84, stabilized steering: 85, difference: 1 
17:11:49 new steering: 82, stabilized steering: 82, difference: 0 
17:11:49 new steering: 88, stabilized steering: 87, difference: 1 
17:11:49 new steering: 65, stabilized steering: 86, difference: 21 
17:11:49 new steering: 46, stabilized steering: 85, difference: 39 
17:11:49 new steering: 47, stabilized steering: 80, difference: 33 
17:11:49 new steering: 48, stabilized steering: 79, difference: 31 
17:11:50 new steering: 97, stabilized steering: 80, difference: 17 
17:11:50 new steering: 112, stabilized steering: 81, difference: 31 
17:11:50 new steering: 104, stabilized steering: 82, difference: 22 
17:11:50 new steering: 105, stabilized steering: 83, difference: 22 
17:11:50 new steering: 90, stabilized steering: 84, difference: 6 
17:11:50 new steering: 105, stabilized steering: 85, difference: 20 
17:11:50 new steering: 83, stabilized steering: 84, difference: 1 
17:11:50 new steering: 94, stabilized steering: 85, difference: 9 
17:11:50 new steering: 96, stabilized steering: 86, difference: 10 
17:11:50 new steering: 97, stabilized steering: 87, difference: 10 
17:11:50 new steering: 95, stabilized steering: 88, difference: 7 
17:11:50 new steering: 98, stabilized steering: 89, difference: 9 
17:11:51 new steering: 99, stabilized steering: 90, difference: 9 
17:11:54 new steering: 160, stabilized steering: 91, difference: 69 
17:11:54 new steering: 161, stabilized steering: 92, difference: 69 
17:11:54 new steering: 161, stabilized steering: 93, difference: 68 
17:11:54 new steering: 161, stabilized steering: 94, difference: 67 
