17:13:09 new steering: 88, stabilized steering: 88, difference: 0 
17:13:09 new steering: 88, stabilized steering: 88, difference: 0 
17:13:09 new steering: 88, stabilized steering: 88, difference: 0 
17:13:10 new steering: 87, stabilized steering: 87, difference: 0 
17:13:10 new steering: 88, stabilized steering: 88, difference: 0 
17:13:10 new steering: 75, stabilized steering: 83, difference: 8 
17:13:10 new steering: 68, stabilized steering: 78, difference: 10 
17:13:10 new steering: 79, stabilized steering: 79, difference: 0 
17:13:10 new steering: 79, stabilized steering: 79, difference: 0 
17:13:10 new steering: 79, stabilized steering: 79, difference: 0 
17:13:10 new steering: 95, stabilized steering: 84, difference: 11 
17:13:10 new steering: 76, stabilized steering: 79, difference: 3 
17:13:10 new steering: 78, stabilized steering: 78, difference: 0 
17:13:11 new steering: 77, stabilized steering: 77, difference: 0 
17:13:11 new steering: 78, stabilized steering: 78, difference: 0 
17:13:11 new steering: 79, stabilized steering: 79, difference: 0 
17:13:11 new steering: 80, stabilized steering: 80, difference: 0 
17:13:11 new steering: 82, stabilized steering: 82, difference: 0 
17:13:11 new steering: 81, stabilized steering: 81, difference: 0 
17:13:11 new steering: 80, stabilized steering: 80, difference: 0 
17:13:11 new steering: 82, stabilized steering: 82, difference: 0 
17:13:11 new steering: 85, stabilized steering: 85, difference: 0 
17:13:11 new steering: 86, stabilized steering: 86, difference: 0 
17:13:11 new steering: 88, stabilized steering: 88, difference: 0 
17:13:12 new steering: 87, stabilized steering: 87, difference: 0 
17:13:12 new steering: 90, stabilized steering: 90, difference: 0 
17:13:12 new steering: 88, stabilized steering: 88, difference: 0 
17:13:12 new steering: 91, stabilized steering: 91, difference: 0 
17:13:12 new steering: 92, stabilized steering: 92, difference: 0 
17:13:12 new steering: 94, stabilized steering: 94, difference: 0 
17:13:12 new steering: 92, stabilized steering: 92, difference: 0 
17:13:12 new steering: 112, stabilized steering: 93, difference: 19 
17:13:12 new steering: 141, stabilized steering: 94, difference: 47 
17:13:12 new steering: 139, stabilized steering: 95, difference: 44 
17:13:13 new steering: 137, stabilized steering: 96, difference: 41 
17:13:13 new steering: 136, stabilized steering: 97, difference: 39 
17:13:13 new steering: 133, stabilized steering: 98, difference: 35 
17:13:13 new steering: 133, stabilized steering: 103, difference: 30 
17:13:13 new steering: 134, stabilized steering: 108, difference: 26 
17:13:13 new steering: 77, stabilized steering: 107, difference: 30 
17:13:13 new steering: 77, stabilized steering: 106, difference: 29 
17:13:13 new steering: 73, stabilized steering: 105, difference: 32 
17:13:13 new steering: 74, stabilized steering: 104, difference: 30 
17:13:13 new steering: 72, stabilized steering: 103, difference: 31 
17:13:14 new steering: 77, stabilized steering: 102, difference: 25 
17:13:14 new steering: 78, stabilized steering: 101, difference: 23 
17:13:14 new steering: 75, stabilized steering: 100, difference: 25 
17:13:14 new steering: 82, stabilized steering: 99, difference: 17 
17:13:14 new steering: 82, stabilized steering: 98, difference: 16 
17:13:14 new steering: 77, stabilized steering: 97, difference: 20 
17:13:14 new steering: 78, stabilized steering: 96, difference: 18 
17:13:14 new steering: 77, stabilized steering: 95, difference: 18 
17:13:14 new steering: 73, stabilized steering: 94, difference: 21 
17:13:14 new steering: 65, stabilized steering: 93, difference: 28 
17:13:15 new steering: 65, stabilized steering: 92, difference: 27 
17:13:15 new steering: 66, stabilized steering: 91, difference: 25 
17:13:15 new steering: 72, stabilized steering: 90, difference: 18 
17:13:15 new steering: 70, stabilized steering: 89, difference: 19 
17:13:15 new steering: 73, stabilized steering: 88, difference: 15 
17:13:15 new steering: 78, stabilized steering: 87, difference: 9 
17:13:15 new steering: 76, stabilized steering: 86, difference: 10 
17:13:15 new steering: 75, stabilized steering: 85, difference: 10 
17:13:15 new steering: 75, stabilized steering: 84, difference: 9 
17:13:15 new steering: 77, stabilized steering: 83, difference: 6 
17:13:15 new steering: 71, stabilized steering: 82, difference: 11 
17:13:15 new steering: 75, stabilized steering: 81, difference: 6 
17:13:16 new steering: 72, stabilized steering: 80, difference: 8 
17:13:16 new steering: 72, stabilized steering: 79, difference: 7 
17:13:16 new steering: 77, stabilized steering: 78, difference: 1 
17:13:16 new steering: 79, stabilized steering: 79, difference: 0 
17:13:16 new steering: 103, stabilized steering: 80, difference: 23 
17:13:16 new steering: 160, stabilized steering: 81, difference: 79 
17:13:16 new steering: 107, stabilized steering: 82, difference: 25 
17:13:16 new steering: 96, stabilized steering: 83, difference: 13 
