15:18:48 new steering: 26, stabilized steering: 85, difference: 59 
15:18:48 new steering: 58, stabilized steering: 80, difference: 22 
15:18:49 new steering: 56, stabilized steering: 75, difference: 19 
15:18:49 new steering: 54, stabilized steering: 70, difference: 16 
15:18:49 new steering: 44, stabilized steering: 65, difference: 21 
15:18:49 new steering: 37, stabilized steering: 60, difference: 23 
15:18:50 new steering: 25, stabilized steering: 55, difference: 30 
15:18:50 new steering: 30, stabilized steering: 50, difference: 20 
15:18:50 new steering: 25, stabilized steering: 45, difference: 20 
15:18:51 new steering: 43, stabilized steering: 43, difference: 0 
15:18:51 new steering: 100, stabilized steering: 48, difference: 52 
15:18:51 new steering: 47, stabilized steering: 47, difference: 0 
15:18:51 new steering: 37, stabilized steering: 42, difference: 5 
15:18:52 new steering: 23, stabilized steering: 37, difference: 14 
15:18:52 new steering: 37, stabilized steering: 37, difference: 0 
15:18:52 new steering: 35, stabilized steering: 35, difference: 0 
15:18:53 new steering: 22, stabilized steering: 30, difference: 8 
15:18:53 new steering: 29, stabilized steering: 29, difference: 0 
15:18:54 new steering: 26, stabilized steering: 26, difference: 0 
15:18:55 new steering: 25, stabilized steering: 25, difference: 0 
15:18:55 new steering: 28, stabilized steering: 28, difference: 0 
15:18:56 new steering: 28, stabilized steering: 28, difference: 0 
15:18:56 new steering: 23, stabilized steering: 23, difference: 0 
15:18:56 new steering: 24, stabilized steering: 24, difference: 0 
15:18:56 new steering: 26, stabilized steering: 26, difference: 0 
15:18:56 new steering: 25, stabilized steering: 25, difference: 0 
15:18:57 new steering: 27, stabilized steering: 27, difference: 0 
15:18:57 new steering: 25, stabilized steering: 25, difference: 0 
15:18:57 new steering: 42, stabilized steering: 30, difference: 12 
15:18:57 new steering: 23, stabilized steering: 25, difference: 2 
15:18:58 new steering: 22, stabilized steering: 22, difference: 0 
15:18:58 new steering: 24, stabilized steering: 24, difference: 0 
15:18:58 new steering: 25, stabilized steering: 25, difference: 0 
15:18:58 new steering: 24, stabilized steering: 24, difference: 0 
15:18:59 new steering: 24, stabilized steering: 24, difference: 0 
15:18:59 new steering: 24, stabilized steering: 24, difference: 0 
15:18:59 new steering: 35, stabilized steering: 29, difference: 6 
15:18:59 new steering: 44, stabilized steering: 34, difference: 10 
15:19:00 new steering: 43, stabilized steering: 39, difference: 4 
15:19:00 new steering: 25, stabilized steering: 34, difference: 9 
15:19:00 new steering: 22, stabilized steering: 29, difference: 7 
15:19:01 new steering: 53, stabilized steering: 34, difference: 19 
15:19:01 new steering: 24, stabilized steering: 29, difference: 5 
15:19:01 new steering: 23, stabilized steering: 24, difference: 1 
15:19:02 new steering: 23, stabilized steering: 23, difference: 0 
15:19:02 new steering: 23, stabilized steering: 23, difference: 0 
15:19:02 new steering: 44, stabilized steering: 28, difference: 16 
15:19:03 new steering: 38, stabilized steering: 33, difference: 5 
15:19:03 new steering: 22, stabilized steering: 28, difference: 6 
15:19:03 new steering: 47, stabilized steering: 33, difference: 14 
15:19:03 new steering: 111, stabilized steering: 38, difference: 73 
15:19:04 new steering: 27, stabilized steering: 33, difference: 6 
15:19:04 new steering: 24, stabilized steering: 28, difference: 4 
15:19:05 new steering: 23, stabilized steering: 23, difference: 0 
15:19:05 new steering: 28, stabilized steering: 28, difference: 0 
15:19:05 new steering: 33, stabilized steering: 33, difference: 0 
15:19:05 new steering: 34, stabilized steering: 34, difference: 0 
15:19:06 new steering: 23, stabilized steering: 29, difference: 6 
15:19:06 new steering: 26, stabilized steering: 26, difference: 0 
15:19:06 new steering: 24, stabilized steering: 24, difference: 0 
15:19:06 new steering: 23, stabilized steering: 23, difference: 0 
15:19:07 new steering: 24, stabilized steering: 24, difference: 0 
15:19:07 new steering: 23, stabilized steering: 23, difference: 0 
15:19:07 new steering: 38, stabilized steering: 28, difference: 10 
15:19:07 new steering: 28, stabilized steering: 28, difference: 0 
15:19:07 new steering: 25, stabilized steering: 25, difference: 0 
15:19:08 new steering: 28, stabilized steering: 28, difference: 0 
15:19:08 new steering: 30, stabilized steering: 30, difference: 0 
15:19:08 new steering: 31, stabilized steering: 31, difference: 0 
15:19:08 new steering: 25, stabilized steering: 26, difference: 1 
15:19:08 new steering: 30, stabilized steering: 30, difference: 0 
15:19:09 new steering: 31, stabilized steering: 31, difference: 0 
15:19:09 new steering: 35, stabilized steering: 35, difference: 0 
15:19:09 new steering: 26, stabilized steering: 30, difference: 4 
15:19:09 new steering: 23, stabilized steering: 25, difference: 2 
15:19:09 new steering: 33, stabilized steering: 30, difference: 3 
15:19:10 new steering: 24, stabilized steering: 25, difference: 1 
15:19:10 new steering: 39, stabilized steering: 30, difference: 9 
15:19:10 new steering: 28, stabilized steering: 28, difference: 0 
15:19:10 new steering: 48, stabilized steering: 33, difference: 15 
15:19:11 new steering: 32, stabilized steering: 32, difference: 0 
15:19:11 new steering: 25, stabilized steering: 27, difference: 2 
15:19:11 new steering: 27, stabilized steering: 27, difference: 0 
15:19:11 new steering: 25, stabilized steering: 25, difference: 0 
15:19:11 new steering: 90, stabilized steering: 30, difference: 60 
15:19:12 new steering: 24, stabilized steering: 25, difference: 1 
15:19:12 new steering: 25, stabilized steering: 25, difference: 0 
15:19:12 new steering: 26, stabilized steering: 26, difference: 0 
15:19:13 new steering: 53, stabilized steering: 31, difference: 22 
15:19:13 new steering: 42, stabilized steering: 36, difference: 6 
15:19:13 new steering: 28, stabilized steering: 31, difference: 3 
15:19:13 new steering: 41, stabilized steering: 36, difference: 5 
