15:17:20 new steering: 37, stabilized steering: 85, difference: 48 
15:17:21 new steering: 34, stabilized steering: 80, difference: 46 
15:17:21 new steering: 48, stabilized steering: 75, difference: 27 
15:17:22 new steering: 116, stabilized steering: 80, difference: 36 
15:17:22 new steering: 124, stabilized steering: 85, difference: 39 
15:17:22 new steering: 45, stabilized steering: 80, difference: 35 
15:17:23 new steering: 41, stabilized steering: 75, difference: 34 
15:17:23 new steering: 116, stabilized steering: 80, difference: 36 
15:17:24 new steering: 116, stabilized steering: 85, difference: 31 
15:17:24 new steering: 93, stabilized steering: 90, difference: 3 
15:17:24 new steering: 84, stabilized steering: 85, difference: 1 
15:17:25 new steering: 134, stabilized steering: 90, difference: 44 
15:17:25 new steering: 100, stabilized steering: 95, difference: 5 
15:17:25 new steering: 70, stabilized steering: 90, difference: 20 
15:17:26 new steering: 29, stabilized steering: 85, difference: 56 
15:17:26 new steering: 38, stabilized steering: 80, difference: 42 
15:17:27 new steering: 39, stabilized steering: 75, difference: 36 
15:17:27 new steering: 98, stabilized steering: 80, difference: 18 
15:17:27 new steering: 66, stabilized steering: 75, difference: 9 
15:17:28 new steering: 110, stabilized steering: 80, difference: 30 
15:17:28 new steering: 82, stabilized steering: 82, difference: 0 
15:17:28 new steering: 135, stabilized steering: 87, difference: 48 
15:17:29 new steering: 57, stabilized steering: 82, difference: 25 
15:17:29 new steering: 57, stabilized steering: 77, difference: 20 
15:17:30 new steering: 77, stabilized steering: 77, difference: 0 
15:17:30 new steering: 99, stabilized steering: 82, difference: 17 
15:17:30 new steering: 89, stabilized steering: 87, difference: 2 
