23:42:54 new steering: 24, stabilized steering: 85, difference: 61 
23:42:54 new steering: 110, stabilized steering: 86, difference: 24 
23:42:54 new steering: 119, stabilized steering: 91, difference: 28 
23:42:55 new steering: 93, stabilized steering: 93, difference: 0 
23:42:55 new steering: 165, stabilized steering: 94, difference: 71 
23:42:55 new steering: 37, stabilized steering: 89, difference: 52 
23:42:56 new steering: 66, stabilized steering: 84, difference: 18 
23:42:56 new steering: 91, stabilized steering: 89, difference: 2 
23:42:56 new steering: 29, stabilized steering: 84, difference: 55 
23:42:56 new steering: 172, stabilized steering: 85, difference: 87 
23:42:57 new steering: 42, stabilized steering: 80, difference: 38 
23:42:57 new steering: 39, stabilized steering: 75, difference: 36 
23:42:57 new steering: 33, stabilized steering: 70, difference: 37 
23:42:57 new steering: 46, stabilized steering: 65, difference: 19 
23:42:57 new steering: 22, stabilized steering: 60, difference: 38 
23:42:58 new steering: 24, stabilized steering: 55, difference: 31 
23:42:58 new steering: 23, stabilized steering: 50, difference: 27 
23:42:58 new steering: 28, stabilized steering: 45, difference: 17 
23:42:58 new steering: 47, stabilized steering: 47, difference: 0 
23:42:59 new steering: 23, stabilized steering: 42, difference: 19 
23:42:59 new steering: 27, stabilized steering: 37, difference: 10 
23:42:59 new steering: 122, stabilized steering: 38, difference: 84 
23:42:59 new steering: 132, stabilized steering: 39, difference: 93 
23:43:00 new steering: 26, stabilized steering: 34, difference: 8 
23:43:00 new steering: 127, stabilized steering: 35, difference: 92 
23:43:00 new steering: 24, stabilized steering: 30, difference: 6 
23:43:00 new steering: 37, stabilized steering: 35, difference: 2 
23:43:01 new steering: 25, stabilized steering: 30, difference: 5 
23:43:01 new steering: 23, stabilized steering: 25, difference: 2 
23:43:01 new steering: 48, stabilized steering: 30, difference: 18 
23:43:01 new steering: 42, stabilized steering: 35, difference: 7 
23:43:01 new steering: 23, stabilized steering: 30, difference: 7 
23:43:02 new steering: 23, stabilized steering: 25, difference: 2 
23:43:02 new steering: 26, stabilized steering: 26, difference: 0 
23:43:02 new steering: 31, stabilized steering: 31, difference: 0 
23:43:02 new steering: 23, stabilized steering: 26, difference: 3 
23:43:03 new steering: 23, stabilized steering: 23, difference: 0 
23:43:03 new steering: 25, stabilized steering: 25, difference: 0 
23:43:03 new steering: 47, stabilized steering: 30, difference: 17 
23:43:03 new steering: 27, stabilized steering: 27, difference: 0 
23:43:04 new steering: 32, stabilized steering: 32, difference: 0 
23:43:04 new steering: 45, stabilized steering: 37, difference: 8 
23:43:04 new steering: 41, stabilized steering: 41, difference: 0 
23:43:04 new steering: 31, stabilized steering: 36, difference: 5 
23:43:05 new steering: 42, stabilized steering: 41, difference: 1 
23:43:05 new steering: 132, stabilized steering: 42, difference: 90 
23:43:05 new steering: 49, stabilized steering: 47, difference: 2 
23:43:06 new steering: 27, stabilized steering: 42, difference: 15 
23:43:06 new steering: 26, stabilized steering: 37, difference: 11 
23:43:06 new steering: 23, stabilized steering: 32, difference: 9 
23:43:06 new steering: 25, stabilized steering: 27, difference: 2 
23:43:06 new steering: 30, stabilized steering: 30, difference: 0 
23:43:07 new steering: 30, stabilized steering: 30, difference: 0 
23:43:07 new steering: 24, stabilized steering: 25, difference: 1 
23:43:07 new steering: 117, stabilized steering: 26, difference: 91 
23:43:07 new steering: 34, stabilized steering: 31, difference: 3 
23:43:08 new steering: 23, stabilized steering: 26, difference: 3 
23:43:08 new steering: 129, stabilized steering: 27, difference: 102 
23:43:08 new steering: 26, stabilized steering: 26, difference: 0 
23:43:08 new steering: 29, stabilized steering: 29, difference: 0 
