17:05:13 new steering: 119, stabilized steering: 91, difference: 28 
17:05:14 new steering: 119, stabilized steering: 92, difference: 27 
17:05:14 new steering: 128, stabilized steering: 93, difference: 35 
17:05:14 new steering: 139, stabilized steering: 94, difference: 45 
17:05:14 new steering: 135, stabilized steering: 95, difference: 40 
17:05:14 new steering: 139, stabilized steering: 96, difference: 43 
17:05:14 new steering: 117, stabilized steering: 97, difference: 20 
17:05:14 new steering: 155, stabilized steering: 98, difference: 57 
17:05:14 new steering: 38, stabilized steering: 97, difference: 59 
17:05:14 new steering: 25, stabilized steering: 96, difference: 71 
17:05:14 new steering: 123, stabilized steering: 97, difference: 26 
17:05:15 new steering: 133, stabilized steering: 98, difference: 35 
17:05:15 new steering: 122, stabilized steering: 99, difference: 23 
17:05:15 new steering: 45, stabilized steering: 98, difference: 53 
17:05:15 new steering: 90, stabilized steering: 97, difference: 7 
17:05:15 new steering: 130, stabilized steering: 98, difference: 32 
17:05:15 new steering: 155, stabilized steering: 99, difference: 56 
17:05:15 new steering: 33, stabilized steering: 98, difference: 65 
17:05:15 new steering: 157, stabilized steering: 99, difference: 58 
17:05:15 new steering: 135, stabilized steering: 100, difference: 35 
17:05:15 new steering: 122, stabilized steering: 101, difference: 21 
17:05:15 new steering: 144, stabilized steering: 102, difference: 42 
17:05:16 new steering: 149, stabilized steering: 103, difference: 46 
17:05:16 new steering: 145, stabilized steering: 104, difference: 41 
17:05:16 new steering: 90, stabilized steering: 103, difference: 13 
17:05:16 new steering: 132, stabilized steering: 104, difference: 28 
17:05:16 new steering: 90, stabilized steering: 103, difference: 13 
17:05:16 new steering: 106, stabilized steering: 104, difference: 2 
17:05:16 new steering: 119, stabilized steering: 105, difference: 14 
17:05:16 new steering: 97, stabilized steering: 104, difference: 7 
17:05:16 new steering: 109, stabilized steering: 105, difference: 4 
17:05:16 new steering: 105, stabilized steering: 105, difference: 0 
17:05:17 new steering: 107, stabilized steering: 106, difference: 1 
17:05:17 new steering: 110, stabilized steering: 107, difference: 3 
17:05:17 new steering: 110, stabilized steering: 108, difference: 2 
17:05:17 new steering: 106, stabilized steering: 107, difference: 1 
17:05:17 new steering: 110, stabilized steering: 108, difference: 2 
17:05:17 new steering: 108, stabilized steering: 108, difference: 0 
17:05:17 new steering: 109, stabilized steering: 109, difference: 0 
17:05:17 new steering: 115, stabilized steering: 110, difference: 5 
17:05:17 new steering: 112, stabilized steering: 111, difference: 1 
17:05:17 new steering: 115, stabilized steering: 112, difference: 3 
17:05:17 new steering: 113, stabilized steering: 113, difference: 0 
17:05:17 new steering: 112, stabilized steering: 112, difference: 0 
17:05:18 new steering: 115, stabilized steering: 113, difference: 2 
17:05:18 new steering: 115, stabilized steering: 114, difference: 1 
17:05:18 new steering: 117, stabilized steering: 115, difference: 2 
17:05:18 new steering: 117, stabilized steering: 116, difference: 1 
17:05:18 new steering: 120, stabilized steering: 117, difference: 3 
17:05:18 new steering: 122, stabilized steering: 118, difference: 4 
17:05:18 new steering: 124, stabilized steering: 119, difference: 5 
17:05:18 new steering: 121, stabilized steering: 120, difference: 1 
17:05:18 new steering: 125, stabilized steering: 121, difference: 4 
17:05:18 new steering: 127, stabilized steering: 122, difference: 5 
