17:04:37 new steering: 141, stabilized steering: 91, difference: 50 
17:04:37 new steering: 144, stabilized steering: 92, difference: 52 
17:04:37 new steering: 30, stabilized steering: 91, difference: 61 
17:04:37 new steering: 113, stabilized steering: 92, difference: 21 
17:04:37 new steering: 90, stabilized steering: 91, difference: 1 
17:04:37 new steering: 72, stabilized steering: 86, difference: 14 
17:04:37 new steering: 113, stabilized steering: 87, difference: 26 
17:04:37 new steering: 113, stabilized steering: 88, difference: 25 
17:04:37 new steering: 97, stabilized steering: 89, difference: 8 
17:04:38 new steering: 109, stabilized steering: 90, difference: 19 
17:04:38 new steering: 108, stabilized steering: 91, difference: 17 
17:04:38 new steering: 111, stabilized steering: 92, difference: 19 
17:04:38 new steering: 137, stabilized steering: 93, difference: 44 
17:04:38 new steering: 16, stabilized steering: 92, difference: 76 
17:04:38 new steering: 125, stabilized steering: 93, difference: 32 
17:04:38 new steering: 135, stabilized steering: 94, difference: 41 
17:04:38 new steering: 116, stabilized steering: 95, difference: 21 
17:04:38 new steering: 103, stabilized steering: 96, difference: 7 
17:04:38 new steering: 104, stabilized steering: 97, difference: 7 
17:04:39 new steering: 102, stabilized steering: 98, difference: 4 
17:04:39 new steering: 106, stabilized steering: 99, difference: 7 
17:04:39 new steering: 113, stabilized steering: 100, difference: 13 
