18:08:34 new steering: 72, stabilized steering: 85, difference: 13 
18:08:34 new steering: 76, stabilized steering: 80, difference: 4 
18:08:34 new steering: 74, stabilized steering: 75, difference: 1 
18:08:34 new steering: 72, stabilized steering: 72, difference: 0 
18:08:35 new steering: 76, stabilized steering: 76, difference: 0 
18:08:35 new steering: 71, stabilized steering: 71, difference: 0 
18:08:35 new steering: 71, stabilized steering: 71, difference: 0 
18:08:35 new steering: 73, stabilized steering: 73, difference: 0 
18:08:35 new steering: 76, stabilized steering: 76, difference: 0 
18:08:36 new steering: 83, stabilized steering: 81, difference: 2 
18:08:36 new steering: 86, stabilized steering: 86, difference: 0 
18:08:36 new steering: 90, stabilized steering: 90, difference: 0 
18:08:36 new steering: 78, stabilized steering: 85, difference: 7 
18:08:37 new steering: 85, stabilized steering: 85, difference: 0 
18:08:37 new steering: 90, stabilized steering: 90, difference: 0 
18:08:37 new steering: 88, stabilized steering: 88, difference: 0 
18:08:38 new steering: 90, stabilized steering: 90, difference: 0 
18:08:38 new steering: 83, stabilized steering: 85, difference: 2 
18:08:38 new steering: 86, stabilized steering: 86, difference: 0 
18:08:38 new steering: 85, stabilized steering: 85, difference: 0 
18:08:39 new steering: 90, stabilized steering: 90, difference: 0 
18:08:39 new steering: 90, stabilized steering: 90, difference: 0 
18:08:39 new steering: 86, stabilized steering: 86, difference: 0 
18:08:39 new steering: 84, stabilized steering: 84, difference: 0 
18:08:40 new steering: 87, stabilized steering: 87, difference: 0 
18:08:40 new steering: 84, stabilized steering: 84, difference: 0 
18:08:40 new steering: 88, stabilized steering: 88, difference: 0 
18:08:40 new steering: 86, stabilized steering: 86, difference: 0 
18:08:40 new steering: 86, stabilized steering: 86, difference: 0 
18:08:41 new steering: 84, stabilized steering: 84, difference: 0 
18:08:41 new steering: 74, stabilized steering: 79, difference: 5 
18:08:41 new steering: 76, stabilized steering: 76, difference: 0 
18:08:41 new steering: 73, stabilized steering: 73, difference: 0 
18:08:41 new steering: 70, stabilized steering: 70, difference: 0 
18:08:41 new steering: 68, stabilized steering: 68, difference: 0 
18:08:41 new steering: 66, stabilized steering: 66, difference: 0 
18:08:42 new steering: 64, stabilized steering: 64, difference: 0 
18:08:42 new steering: 67, stabilized steering: 67, difference: 0 
18:08:42 new steering: 64, stabilized steering: 64, difference: 0 
18:08:42 new steering: 61, stabilized steering: 61, difference: 0 
18:08:42 new steering: 64, stabilized steering: 64, difference: 0 
18:08:42 new steering: 67, stabilized steering: 67, difference: 0 
18:08:42 new steering: 71, stabilized steering: 71, difference: 0 
18:08:43 new steering: 68, stabilized steering: 68, difference: 0 
18:08:43 new steering: 81, stabilized steering: 73, difference: 8 
18:08:43 new steering: 71, stabilized steering: 71, difference: 0 
18:08:43 new steering: 65, stabilized steering: 66, difference: 1 
18:08:43 new steering: 64, stabilized steering: 64, difference: 0 
18:08:43 new steering: 70, stabilized steering: 69, difference: 1 
18:08:44 new steering: 75, stabilized steering: 74, difference: 1 
18:08:44 new steering: 79, stabilized steering: 79, difference: 0 
18:08:44 new steering: 79, stabilized steering: 79, difference: 0 
18:08:44 new steering: 74, stabilized steering: 74, difference: 0 
18:08:44 new steering: 70, stabilized steering: 70, difference: 0 
18:08:44 new steering: 74, stabilized steering: 74, difference: 0 
18:08:44 new steering: 77, stabilized steering: 77, difference: 0 
18:08:45 new steering: 65, stabilized steering: 72, difference: 7 
18:08:45 new steering: 59, stabilized steering: 67, difference: 8 
18:08:45 new steering: 59, stabilized steering: 62, difference: 3 
18:08:45 new steering: 72, stabilized steering: 67, difference: 5 
18:08:45 new steering: 58, stabilized steering: 62, difference: 4 
18:08:45 new steering: 54, stabilized steering: 57, difference: 3 
18:08:46 new steering: 62, stabilized steering: 62, difference: 0 
18:08:46 new steering: 47, stabilized steering: 57, difference: 10 
18:08:46 new steering: 49, stabilized steering: 52, difference: 3 
18:08:46 new steering: 53, stabilized steering: 53, difference: 0 
18:08:46 new steering: 61, stabilized steering: 58, difference: 3 
18:08:46 new steering: 59, stabilized steering: 59, difference: 0 
18:08:47 new steering: 73, stabilized steering: 64, difference: 9 
18:08:47 new steering: 66, stabilized steering: 66, difference: 0 
18:08:47 new steering: 58, stabilized steering: 61, difference: 3 
18:08:47 new steering: 65, stabilized steering: 65, difference: 0 
18:08:48 new steering: 62, stabilized steering: 62, difference: 0 
18:08:48 new steering: 57, stabilized steering: 57, difference: 0 
18:08:48 new steering: 61, stabilized steering: 61, difference: 0 
18:08:48 new steering: 57, stabilized steering: 57, difference: 0 
18:08:48 new steering: 73, stabilized steering: 62, difference: 11 
18:08:48 new steering: 64, stabilized steering: 64, difference: 0 
18:08:49 new steering: 62, stabilized steering: 62, difference: 0 
18:08:49 new steering: 65, stabilized steering: 65, difference: 0 
18:08:49 new steering: 59, stabilized steering: 60, difference: 1 
18:08:49 new steering: 65, stabilized steering: 65, difference: 0 
18:08:49 new steering: 70, stabilized steering: 70, difference: 0 
18:08:49 new steering: 82, stabilized steering: 75, difference: 7 
18:08:50 new steering: 90, stabilized steering: 80, difference: 10 
18:08:50 new steering: 76, stabilized steering: 76, difference: 0 
18:08:50 new steering: 95, stabilized steering: 81, difference: 14 
18:08:50 new steering: 80, stabilized steering: 80, difference: 0 
18:08:51 new steering: 87, stabilized steering: 85, difference: 2 
18:08:51 new steering: 86, stabilized steering: 86, difference: 0 
18:08:51 new steering: 86, stabilized steering: 86, difference: 0 
18:08:51 new steering: 86, stabilized steering: 86, difference: 0 
18:08:51 new steering: 94, stabilized steering: 91, difference: 3 
18:08:52 new steering: 77, stabilized steering: 86, difference: 9 
18:08:52 new steering: 70, stabilized steering: 81, difference: 11 
18:08:52 new steering: 69, stabilized steering: 76, difference: 7 
18:08:53 new steering: 67, stabilized steering: 71, difference: 4 
18:08:53 new steering: 61, stabilized steering: 66, difference: 5 
18:08:53 new steering: 149, stabilized steering: 71, difference: 78 
18:08:53 new steering: 55, stabilized steering: 66, difference: 11 
18:08:54 new steering: 81, stabilized steering: 71, difference: 10 
18:08:54 new steering: 57, stabilized steering: 66, difference: 9 
18:08:55 new steering: 139, stabilized steering: 71, difference: 68 
18:08:55 new steering: 80, stabilized steering: 76, difference: 4 
18:08:55 new steering: 90, stabilized steering: 81, difference: 9 
18:08:56 new steering: 52, stabilized steering: 76, difference: 24 
18:08:56 new steering: 69, stabilized steering: 71, difference: 2 
18:08:57 new steering: 70, stabilized steering: 70, difference: 0 
18:08:57 new steering: 57, stabilized steering: 65, difference: 8 
18:08:57 new steering: 80, stabilized steering: 70, difference: 10 
18:08:58 new steering: 56, stabilized steering: 65, difference: 9 
18:08:58 new steering: 57, stabilized steering: 60, difference: 3 
18:08:58 new steering: 60, stabilized steering: 60, difference: 0 
18:08:58 new steering: 70, stabilized steering: 65, difference: 5 
18:08:59 new steering: 56, stabilized steering: 60, difference: 4 
18:08:59 new steering: 59, stabilized steering: 59, difference: 0 
18:08:59 new steering: 59, stabilized steering: 59, difference: 0 
18:08:59 new steering: 63, stabilized steering: 63, difference: 0 
18:08:59 new steering: 60, stabilized steering: 60, difference: 0 
18:08:59 new steering: 55, stabilized steering: 55, difference: 0 
18:08:59 new steering: 105, stabilized steering: 60, difference: 45 
18:08:59 new steering: 56, stabilized steering: 56, difference: 0 
18:09:00 new steering: 93, stabilized steering: 61, difference: 32 
18:09:00 new steering: 82, stabilized steering: 66, difference: 16 
18:09:00 new steering: 73, stabilized steering: 71, difference: 2 
18:09:00 new steering: 81, stabilized steering: 76, difference: 5 
18:09:00 new steering: 81, stabilized steering: 81, difference: 0 
18:09:00 new steering: 86, stabilized steering: 86, difference: 0 
18:09:01 new steering: 88, stabilized steering: 88, difference: 0 
18:09:01 new steering: 95, stabilized steering: 93, difference: 2 
18:09:01 new steering: 97, stabilized steering: 97, difference: 0 
18:09:01 new steering: 90, stabilized steering: 92, difference: 2 
18:09:02 new steering: 102, stabilized steering: 97, difference: 5 
18:09:02 new steering: 106, stabilized steering: 102, difference: 4 
18:09:02 new steering: 91, stabilized steering: 97, difference: 6 
18:09:03 new steering: 98, stabilized steering: 98, difference: 0 
18:09:03 new steering: 96, stabilized steering: 96, difference: 0 
18:09:03 new steering: 100, stabilized steering: 100, difference: 0 
