18:01:46 new steering: 83, stabilized steering: 85, difference: 2 
18:01:46 new steering: 84, stabilized steering: 84, difference: 0 
18:01:46 new steering: 84, stabilized steering: 84, difference: 0 
18:01:46 new steering: 83, stabilized steering: 83, difference: 0 
18:01:46 new steering: 81, stabilized steering: 81, difference: 0 
18:01:46 new steering: 80, stabilized steering: 80, difference: 0 
18:01:47 new steering: 80, stabilized steering: 80, difference: 0 
18:01:47 new steering: 78, stabilized steering: 78, difference: 0 
18:01:47 new steering: 79, stabilized steering: 79, difference: 0 
18:01:47 new steering: 80, stabilized steering: 80, difference: 0 
18:01:47 new steering: 79, stabilized steering: 79, difference: 0 
18:01:47 new steering: 143, stabilized steering: 84, difference: 59 
18:01:47 new steering: 96, stabilized steering: 89, difference: 7 
18:01:47 new steering: 117, stabilized steering: 94, difference: 23 
18:01:47 new steering: 111, stabilized steering: 99, difference: 12 
18:01:47 new steering: 98, stabilized steering: 98, difference: 0 
18:01:47 new steering: 80, stabilized steering: 93, difference: 13 
18:01:48 new steering: 102, stabilized steering: 98, difference: 4 
18:01:48 new steering: 38, stabilized steering: 93, difference: 55 
18:01:48 new steering: 96, stabilized steering: 96, difference: 0 
18:01:48 new steering: 130, stabilized steering: 101, difference: 29 
18:01:48 new steering: 79, stabilized steering: 96, difference: 17 
18:01:48 new steering: 76, stabilized steering: 91, difference: 15 
18:01:48 new steering: 83, stabilized steering: 86, difference: 3 
18:01:48 new steering: 79, stabilized steering: 81, difference: 2 
18:01:48 new steering: 77, stabilized steering: 77, difference: 0 
18:01:48 new steering: 76, stabilized steering: 76, difference: 0 
18:01:48 new steering: 75, stabilized steering: 75, difference: 0 
18:01:49 new steering: 102, stabilized steering: 76, difference: 26 
18:01:49 new steering: 140, stabilized steering: 77, difference: 63 
18:01:49 new steering: 104, stabilized steering: 78, difference: 26 
18:01:49 new steering: 71, stabilized steering: 73, difference: 2 
18:01:49 new steering: 115, stabilized steering: 74, difference: 41 
18:01:49 new steering: 105, stabilized steering: 75, difference: 30 
18:01:49 new steering: 108, stabilized steering: 76, difference: 32 
18:01:49 new steering: 111, stabilized steering: 77, difference: 34 
18:01:49 new steering: 109, stabilized steering: 78, difference: 31 
18:01:49 new steering: 105, stabilized steering: 79, difference: 26 
18:01:50 new steering: 110, stabilized steering: 80, difference: 30 
18:01:50 new steering: 103, stabilized steering: 81, difference: 22 
18:01:50 new steering: 106, stabilized steering: 82, difference: 24 
18:01:50 new steering: 29, stabilized steering: 81, difference: 52 
18:01:50 new steering: 124, stabilized steering: 82, difference: 42 
18:01:50 new steering: 109, stabilized steering: 83, difference: 26 
18:01:50 new steering: 157, stabilized steering: 84, difference: 73 
18:01:50 new steering: 138, stabilized steering: 85, difference: 53 
18:01:50 new steering: 83, stabilized steering: 83, difference: 0 
18:01:50 new steering: 104, stabilized steering: 84, difference: 20 
18:01:50 new steering: 129, stabilized steering: 85, difference: 44 
18:01:51 new steering: 84, stabilized steering: 84, difference: 0 
18:01:51 new steering: 85, stabilized steering: 85, difference: 0 
18:01:51 new steering: 80, stabilized steering: 80, difference: 0 
18:01:51 new steering: 80, stabilized steering: 80, difference: 0 
