15:12:38 new steering: 45, stabilized steering: 85, difference: 40 
15:12:39 new steering: 46, stabilized steering: 80, difference: 34 
15:12:39 new steering: 68, stabilized steering: 75, difference: 7 
15:12:40 new steering: 125, stabilized steering: 80, difference: 45 
15:12:40 new steering: 87, stabilized steering: 85, difference: 2 
15:12:41 new steering: 103, stabilized steering: 90, difference: 13 
15:12:41 new steering: 44, stabilized steering: 85, difference: 41 
15:12:42 new steering: 90, stabilized steering: 90, difference: 0 
15:12:42 new steering: 101, stabilized steering: 95, difference: 6 
15:12:42 new steering: 50, stabilized steering: 90, difference: 40 
15:12:43 new steering: 92, stabilized steering: 92, difference: 0 
15:12:43 new steering: 104, stabilized steering: 97, difference: 7 
15:12:44 new steering: 86, stabilized steering: 92, difference: 6 
15:12:44 new steering: 65, stabilized steering: 87, difference: 22 
15:12:45 new steering: 53, stabilized steering: 82, difference: 29 
15:12:45 new steering: 102, stabilized steering: 87, difference: 15 
15:12:45 new steering: 123, stabilized steering: 92, difference: 31 
15:12:46 new steering: 86, stabilized steering: 87, difference: 1 
15:12:46 new steering: 107, stabilized steering: 92, difference: 15 
15:12:47 new steering: 109, stabilized steering: 97, difference: 12 
15:12:47 new steering: 44, stabilized steering: 92, difference: 48 
15:12:47 new steering: 79, stabilized steering: 87, difference: 8 
15:12:48 new steering: 90, stabilized steering: 90, difference: 0 
15:12:48 new steering: 93, stabilized steering: 93, difference: 0 
15:12:49 new steering: 73, stabilized steering: 88, difference: 15 
15:12:49 new steering: 122, stabilized steering: 93, difference: 29 
15:12:50 new steering: 53, stabilized steering: 88, difference: 35 
15:12:50 new steering: 90, stabilized steering: 90, difference: 0 
15:12:50 new steering: 96, stabilized steering: 95, difference: 1 
15:12:51 new steering: 74, stabilized steering: 90, difference: 16 
15:12:51 new steering: 79, stabilized steering: 85, difference: 6 
15:12:52 new steering: 45, stabilized steering: 80, difference: 35 
15:12:52 new steering: 74, stabilized steering: 75, difference: 1 
15:12:53 new steering: 98, stabilized steering: 80, difference: 18 
15:12:53 new steering: 79, stabilized steering: 79, difference: 0 
15:12:54 new steering: 87, stabilized steering: 84, difference: 3 
15:12:54 new steering: 79, stabilized steering: 79, difference: 0 
15:12:55 new steering: 106, stabilized steering: 84, difference: 22 
15:12:55 new steering: 94, stabilized steering: 89, difference: 5 
15:12:56 new steering: 130, stabilized steering: 94, difference: 36 
15:12:56 new steering: 49, stabilized steering: 89, difference: 40 
15:12:57 new steering: 82, stabilized steering: 84, difference: 2 
15:12:57 new steering: 91, stabilized steering: 89, difference: 2 
15:12:57 new steering: 118, stabilized steering: 94, difference: 24 
15:12:58 new steering: 58, stabilized steering: 89, difference: 31 
15:12:59 new steering: 80, stabilized steering: 84, difference: 4 
15:12:59 new steering: 73, stabilized steering: 79, difference: 6 
15:12:59 new steering: 56, stabilized steering: 74, difference: 18 
15:13:00 new steering: 104, stabilized steering: 79, difference: 25 
15:13:00 new steering: 62, stabilized steering: 74, difference: 12 
15:13:01 new steering: 55, stabilized steering: 69, difference: 14 
15:13:01 new steering: 59, stabilized steering: 64, difference: 5 
15:13:02 new steering: 70, stabilized steering: 69, difference: 1 
