17:09:40 new steering: 81, stabilized steering: 85, difference: 4 
17:09:41 new steering: 84, stabilized steering: 84, difference: 0 
17:09:41 new steering: 65, stabilized steering: 79, difference: 14 
17:09:41 new steering: 83, stabilized steering: 83, difference: 0 
17:09:41 new steering: 77, stabilized steering: 78, difference: 1 
17:09:41 new steering: 98, stabilized steering: 83, difference: 15 
17:09:41 new steering: 39, stabilized steering: 78, difference: 39 
17:09:41 new steering: 95, stabilized steering: 83, difference: 12 
17:09:41 new steering: 116, stabilized steering: 88, difference: 28 
17:09:41 new steering: 78, stabilized steering: 83, difference: 5 
17:09:42 new steering: 39, stabilized steering: 78, difference: 39 
17:09:42 new steering: 153, stabilized steering: 83, difference: 70 
17:09:42 new steering: 81, stabilized steering: 81, difference: 0 
17:09:42 new steering: 95, stabilized steering: 86, difference: 9 
17:09:42 new steering: 81, stabilized steering: 81, difference: 0 
17:09:42 new steering: 39, stabilized steering: 76, difference: 37 
17:09:42 new steering: 81, stabilized steering: 81, difference: 0 
17:09:42 new steering: 77, stabilized steering: 77, difference: 0 
17:09:42 new steering: 101, stabilized steering: 82, difference: 19 
17:09:42 new steering: 80, stabilized steering: 80, difference: 0 
17:09:43 new steering: 81, stabilized steering: 81, difference: 0 
17:09:43 new steering: 93, stabilized steering: 86, difference: 7 
17:09:43 new steering: 99, stabilized steering: 91, difference: 8 
17:09:43 new steering: 101, stabilized steering: 96, difference: 5 
17:09:43 new steering: 153, stabilized steering: 101, difference: 52 
17:09:43 new steering: 106, stabilized steering: 106, difference: 0 
17:09:43 new steering: 100, stabilized steering: 101, difference: 1 
17:09:43 new steering: 103, stabilized steering: 103, difference: 0 
17:09:43 new steering: 86, stabilized steering: 98, difference: 12 
17:09:43 new steering: 104, stabilized steering: 103, difference: 1 
17:09:44 new steering: 104, stabilized steering: 104, difference: 0 
17:09:44 new steering: 97, stabilized steering: 99, difference: 2 
17:09:44 new steering: 96, stabilized steering: 96, difference: 0 
17:09:44 new steering: 82, stabilized steering: 91, difference: 9 
17:09:44 new steering: 80, stabilized steering: 86, difference: 6 
