17:56:11 new steering: 88, stabilized steering: 88, difference: 0 
17:56:12 new steering: 84, stabilized steering: 84, difference: 0 
17:56:12 new steering: 89, stabilized steering: 89, difference: 0 
17:56:12 new steering: 89, stabilized steering: 89, difference: 0 
17:56:13 new steering: 82, stabilized steering: 84, difference: 2 
17:56:13 new steering: 84, stabilized steering: 84, difference: 0 
17:56:13 new steering: 82, stabilized steering: 82, difference: 0 
17:56:13 new steering: 81, stabilized steering: 81, difference: 0 
17:56:13 new steering: 85, stabilized steering: 85, difference: 0 
17:56:14 new steering: 91, stabilized steering: 90, difference: 1 
17:56:14 new steering: 83, stabilized steering: 85, difference: 2 
17:56:14 new steering: 98, stabilized steering: 90, difference: 8 
17:56:14 new steering: 85, stabilized steering: 85, difference: 0 
17:56:15 new steering: 89, stabilized steering: 89, difference: 0 
17:56:15 new steering: 88, stabilized steering: 88, difference: 0 
17:56:15 new steering: 88, stabilized steering: 88, difference: 0 
17:56:15 new steering: 81, stabilized steering: 83, difference: 2 
17:56:15 new steering: 98, stabilized steering: 88, difference: 10 
17:56:16 new steering: 104, stabilized steering: 93, difference: 11 
17:56:16 new steering: 75, stabilized steering: 88, difference: 13 
17:56:16 new steering: 74, stabilized steering: 83, difference: 9 
17:56:16 new steering: 86, stabilized steering: 86, difference: 0 
17:56:16 new steering: 105, stabilized steering: 91, difference: 14 
17:56:17 new steering: 97, stabilized steering: 96, difference: 1 
17:56:17 new steering: 97, stabilized steering: 97, difference: 0 
17:56:17 new steering: 59, stabilized steering: 92, difference: 33 
17:56:17 new steering: 74, stabilized steering: 87, difference: 13 
17:56:18 new steering: 73, stabilized steering: 82, difference: 9 
17:56:18 new steering: 71, stabilized steering: 77, difference: 6 
17:56:18 new steering: 38, stabilized steering: 72, difference: 34 
17:56:18 new steering: 31, stabilized steering: 67, difference: 36 
17:56:19 new steering: 87, stabilized steering: 72, difference: 15 
17:56:19 new steering: 97, stabilized steering: 77, difference: 20 
17:56:20 new steering: 102, stabilized steering: 82, difference: 20 
17:56:20 new steering: 107, stabilized steering: 87, difference: 20 
17:56:20 new steering: 108, stabilized steering: 92, difference: 16 
