15:34:40 new steering: 31, stabilized steering: 89, difference: 58 
15:34:41 new steering: 14, stabilized steering: 88, difference: 74 
15:34:41 new steering: 8, stabilized steering: 87, difference: 79 
15:34:41 new steering: 9, stabilized steering: 86, difference: 77 
15:34:42 new steering: 16, stabilized steering: 85, difference: 69 
15:34:42 new steering: 14, stabilized steering: 84, difference: 70 
15:34:42 new steering: 12, stabilized steering: 83, difference: 71 
15:34:43 new steering: 12, stabilized steering: 82, difference: 70 
15:34:43 new steering: 160, stabilized steering: 83, difference: 77 
15:34:44 new steering: 14, stabilized steering: 82, difference: 68 
15:34:44 new steering: 8, stabilized steering: 81, difference: 73 
15:34:44 new steering: 27, stabilized steering: 80, difference: 53 
15:34:44 new steering: 13, stabilized steering: 79, difference: 66 
15:34:44 new steering: 8, stabilized steering: 78, difference: 70 
15:34:44 new steering: 11, stabilized steering: 77, difference: 66 
15:34:45 new steering: 8, stabilized steering: 76, difference: 68 
15:34:45 new steering: 172, stabilized steering: 77, difference: 95 
15:34:46 new steering: 8, stabilized steering: 76, difference: 68 
15:34:46 new steering: 8, stabilized steering: 75, difference: 67 
15:34:46 new steering: 17, stabilized steering: 74, difference: 57 
15:34:47 new steering: 15, stabilized steering: 73, difference: 58 
15:34:47 new steering: 25, stabilized steering: 72, difference: 47 
15:34:47 new steering: 9, stabilized steering: 71, difference: 62 
15:34:48 new steering: 8, stabilized steering: 70, difference: 62 
15:34:48 new steering: 13, stabilized steering: 69, difference: 56 
15:34:48 new steering: 11, stabilized steering: 68, difference: 57 
15:34:49 new steering: 167, stabilized steering: 69, difference: 98 
15:34:49 new steering: 159, stabilized steering: 70, difference: 89 
15:34:49 new steering: 8, stabilized steering: 69, difference: 61 
15:34:50 new steering: 12, stabilized steering: 68, difference: 56 
15:34:50 new steering: 18, stabilized steering: 67, difference: 49 
15:34:50 new steering: 12, stabilized steering: 66, difference: 54 
15:34:50 new steering: 9, stabilized steering: 65, difference: 56 
15:34:51 new steering: 19, stabilized steering: 64, difference: 45 
15:34:51 new steering: 9, stabilized steering: 63, difference: 54 
15:34:51 new steering: 8, stabilized steering: 62, difference: 54 
15:34:52 new steering: 8, stabilized steering: 61, difference: 53 
